"Year","Region","iso_code3","exports_agrc_bevs_and_spices_tonne"
2008,"louisiana","LA",2576.38
2009,"louisiana","LA",996.05
2010,"louisiana","LA",4077.02
2011,"louisiana","LA",7166.68
2012,"louisiana","LA",2797.22
2013,"louisiana","LA",2273.39
2014,"louisiana","LA",1448.07
2015,"louisiana","LA",1441.26
2016,"louisiana","LA",1544.55
2017,"louisiana","LA",947.29
2018,"louisiana","LA",1609.72
2019,"louisiana","LA",2278.16
2020,"louisiana","LA",2306.41
2021,"louisiana","LA",1183.54
2022,"louisiana","LA",1366.24
2023,"louisiana","LA",1349.08
