"Year","Region","iso_code3","exports_agrc_nuts_tonne"
2008,"louisiana","LA",56132.39
2009,"louisiana","LA",33326.96
2010,"louisiana","LA",79003.2
2011,"louisiana","LA",194596.89
2012,"louisiana","LA",908098.35
2013,"louisiana","LA",160428.41
2014,"louisiana","LA",326271.4
2015,"louisiana","LA",203961.23
2016,"louisiana","LA",71802.69
2017,"louisiana","LA",111563.64
2018,"louisiana","LA",226523.69
2019,"louisiana","LA",213659.36
2020,"louisiana","LA",250978.3
2021,"louisiana","LA",181710.93
2022,"louisiana","LA",156377.33
2023,"louisiana","LA",253496.66
