"","State.Exports.by.HS.Commodities","X","X.1","X.2","X.3","X.4"
"1","Current date: 07/24/2024 4:54 PM (Eastern Daylight Time)","","","","",""
"2","Country: World Total","","","","",""
"3","State","Commodity","Time","Vessel SWT (kg)","Air SWT (kg)","Total (tonne)"
"4","Louisiana","0601 Bulbs, Tubers Etc; Chicory Plants & Roots Nesoi","2009","","760","0.76"
"5","Louisiana","0601 Bulbs, Tubers Etc; Chicory Plants & Roots Nesoi","2011","1,000","283","1.28"
"6","Louisiana","0601 Bulbs, Tubers Etc; Chicory Plants & Roots Nesoi","2012","750","88","0.84"
"7","Louisiana","0601 Bulbs, Tubers Etc; Chicory Plants & Roots Nesoi","2013","","36","0.04"
"8","Louisiana","0601 Bulbs, Tubers Etc; Chicory Plants & Roots Nesoi","2019","72,000","","72.00"
"9","Louisiana","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn","2008","","1,387","1.39"
"10","Louisiana","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn","2009","","1,143","1.14"
"11","Louisiana","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn","2010","","2,606","2.61"
"12","Louisiana","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn","2011","","2,871","2.87"
"13","Louisiana","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn","2012","","1,825","1.83"
"14","Louisiana","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn","2013","","1,197","1.20"
"15","Louisiana","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn","2014","","93","0.09"
"16","Louisiana","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn","2016","","141","0.14"
"17","Louisiana","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn","2017","","1,661","1.66"
"18","Louisiana","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn","2018","29,683","1,558","31.24"
"19","Louisiana","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn","2019","","1,944","1.94"
"20","Louisiana","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn","2020","","171","0.17"
"21","Louisiana","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn","2021","","806","0.81"
"22","Louisiana","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn","2022","","374","0.37"
"23","Louisiana","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn","2023","1,925","810","2.74"
"24","Louisiana","0603 Cut Flowers & Buds For Bouquets Etc., Prepared","2011","","60","0.06"
"25","Louisiana","0603 Cut Flowers & Buds For Bouquets Etc., Prepared","2016","","2,631","2.63"
"26","Louisiana","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared","2009","","3,937","3.94"
"27","Louisiana","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared","2010","","4,972","4.97"
"28","Louisiana","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared","2012","","3,131","3.13"
"29","Louisiana","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared","2013","4,101","","4.10"
"30","Louisiana","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared","2014","5,638","","5.64"
"31","Louisiana","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared","2015","490","","0.49"
"32","Louisiana","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared","2021","98","38","0.14"
"33","Louisiana","0701 Potatoes (except Sweet Potatoes), Fresh Or Chilled","2008","9,675","","9.68"
"34","Louisiana","0703 Onions, Shallots, Garlic, Leeks Etc, Fr Or Chilled","2010","23,915","","23.92"
"35","Louisiana","0703 Onions, Shallots, Garlic, Leeks Etc, Fr Or Chilled","2013","315","","0.32"
"36","Louisiana","0707 Cucumbers And Gherkins, Fresh Or Chilled","2010","13,800","","13.80"
"37","Louisiana","0708 Leguminous Vegetables, Shelled Or Not, Fr Or Chill","2008","3,010","","3.01"
"38","Louisiana","0708 Leguminous Vegetables, Shelled Or Not, Fr Or Chill","2009","1,800","","1.80"
"39","Louisiana","0708 Leguminous Vegetables, Shelled Or Not, Fr Or Chill","2017","45,359","","45.36"
