"Year","Region","iso_code3","exports_agrc_pulses_tonne"
2008,"louisiana","LA",15948308.05
2009,"louisiana","LA",19296839.11
2010,"louisiana","LA",20059063.12
2011,"louisiana","LA",16237065.4
2012,"louisiana","LA",22545236.57
2013,"louisiana","LA",17472223.19
2014,"louisiana","LA",22446118.35
2015,"louisiana","LA",23314161.74
2016,"louisiana","LA",27859816.71
2017,"louisiana","LA",27539774.82
2018,"louisiana","LA",23744475.23
2019,"louisiana","LA",25856821.26
2020,"louisiana","LA",31399020.57
2021,"louisiana","LA",23111714.13
2022,"louisiana","LA",27494745.82
2023,"louisiana","LA",25093055.27
