"Year","Region","iso_code3","exports_agrc_tubers_tonne"
2024,"louisiana","LA",17.86
2025,"louisiana","LA",17.72
2026,"louisiana","LA",17.58
2027,"louisiana","LA",17.44
2028,"louisiana","LA",17.3
2029,"louisiana","LA",17.16
2030,"louisiana","LA",17.02
2031,"louisiana","LA",16.88
2032,"louisiana","LA",16.74
2033,"louisiana","LA",16.6
2034,"louisiana","LA",16.46
2035,"louisiana","LA",16.32
2036,"louisiana","LA",16.18
2037,"louisiana","LA",16.04
2038,"louisiana","LA",15.9
2039,"louisiana","LA",15.76
2040,"louisiana","LA",15.62
2041,"louisiana","LA",15.48
2042,"louisiana","LA",15.34
2043,"louisiana","LA",15.2
2044,"louisiana","LA",15.06
2045,"louisiana","LA",14.92
2046,"louisiana","LA",14.78
2047,"louisiana","LA",14.64
2048,"louisiana","LA",14.5
2049,"louisiana","LA",14.36
2050,"louisiana","LA",14.22
