"Year","Region","iso_code3","frac_agrc_crop_demand_imported_fruits"
2010,"louisiana","LA",0.129729413039331
2011,"louisiana","LA",0.122115744718349
2012,"louisiana","LA",0.138830359879683
2013,"louisiana","LA",0.12093433951753
2014,"louisiana","LA",0.114857692612968
2015,"louisiana","LA",0.121775121970102
2016,"louisiana","LA",0.122656544582957
2017,"louisiana","LA",0.123068825801973
2018,"louisiana","LA",0.12431106106802
2019,"louisiana","LA",0.128991647239976
2020,"louisiana","LA",0.136059500022766
2021,"louisiana","LA",0.141067343931518
2022,"louisiana","LA",0.146238040543475
2023,"louisiana","LA",0.147897528558775
