"Year","Region","iso_code3","frac_agrc_initial_area_cropland_cereals"
2008,"louisiana","LA",0.275433299
2009,"louisiana","LA",0.257945182
2010,"louisiana","LA",0.209103623
2011,"louisiana","LA",0.289817255
2012,"louisiana","LA",0.292438883
2013,"louisiana","LA",0.315420463
2014,"louisiana","LA",0.190011922
2015,"louisiana","LA",0.163562026
2016,"louisiana","LA",0.195580292
2017,"louisiana","LA",0.155316193
2018,"louisiana","LA",0.155176044
2019,"louisiana","LA",0.193871067
2020,"louisiana","LA",0.175978072
2021,"louisiana","LA",0.223498174
2022,"louisiana","LA",0.156884156
2023,"louisiana","LA",0.237081792
