"Year","Region","iso_code3","frac_agrc_initial_area_cropland_cereals"
2024,"louisiana","LA",0.237081792
2025,"louisiana","LA",0.237081792
2026,"louisiana","LA",0.237081792
2027,"louisiana","LA",0.237081792
2028,"louisiana","LA",0.237081792
2029,"louisiana","LA",0.237081792
2030,"louisiana","LA",0.237081792
2031,"louisiana","LA",0.237081792
2032,"louisiana","LA",0.237081792
2033,"louisiana","LA",0.237081792
2034,"louisiana","LA",0.237081792
2035,"louisiana","LA",0.237081792
2036,"louisiana","LA",0.237081792
2037,"louisiana","LA",0.237081792
2038,"louisiana","LA",0.237081792
2039,"louisiana","LA",0.237081792
2040,"louisiana","LA",0.237081792
2041,"louisiana","LA",0.237081792
2042,"louisiana","LA",0.237081792
2043,"louisiana","LA",0.237081792
2044,"louisiana","LA",0.237081792
2045,"louisiana","LA",0.237081792
2046,"louisiana","LA",0.237081792
2047,"louisiana","LA",0.237081792
2048,"louisiana","LA",0.237081792
2049,"louisiana","LA",0.237081792
2050,"louisiana","LA",0.237081792
