"Year","Region","iso_code3","frac_agrc_initial_area_cropland_fruits"
2008,"louisiana","LA",3.26056218362358e-05
2009,"louisiana","LA",0.000230852287255378
2010,"louisiana","LA",6.58134531881589e-05
2011,"louisiana","LA",4.29549611780911e-05
2012,"louisiana","LA",1.94042198886198e-05
2013,"louisiana","LA",4.1716937405931e-05
2014,"louisiana","LA",4.84193280317456e-05
2015,"louisiana","LA",2.63643887553562e-05
2016,"louisiana","LA",5.20775817931755e-05
2017,"louisiana","LA",2.53710252493691e-05
2018,"louisiana","LA",3.8195011689957e-05
2019,"louisiana","LA",5.23300693294811e-05
2020,"louisiana","LA",5.33783062455321e-05
2021,"louisiana","LA",3.36478376114155e-05
2022,"louisiana","LA",2.76811756010737e-05
2023,"louisiana","LA",4.00300618823107e-05
