"Year","Region","iso_code3","frac_agrc_initial_area_cropland_pulses"
2008,"louisiana","LA",5.9602e-05
2009,"louisiana","LA",5.22325e-05
2010,"louisiana","LA",0.000170859
2011,"louisiana","LA",0.000157721
2012,"louisiana","LA",2.98595e-05
2013,"louisiana","LA",8.54427e-05
2014,"louisiana","LA",7.44031e-05
2015,"louisiana","LA",0.000158984
2016,"louisiana","LA",6.08013e-05
2017,"louisiana","LA",8.4019e-06
2018,"louisiana","LA",8.8269e-05
2019,"louisiana","LA",7.88089e-05
2020,"louisiana","LA",8.36358e-05
2021,"louisiana","LA",9.87068e-05
2022,"louisiana","LA",0.000105519
2023,"louisiana","LA",0.000119861
