"Year","Region","iso_code3","frac_agrc_initial_area_cropland_pulses"
2024,"louisiana","LA",0.000119861
2025,"louisiana","LA",0.000119861
2026,"louisiana","LA",0.000119861
2027,"louisiana","LA",0.000119861
2028,"louisiana","LA",0.000119861
2029,"louisiana","LA",0.000119861
2030,"louisiana","LA",0.000119861
2031,"louisiana","LA",0.000119861
2032,"louisiana","LA",0.000119861
2033,"louisiana","LA",0.000119861
2034,"louisiana","LA",0.000119861
2035,"louisiana","LA",0.000119861
2036,"louisiana","LA",0.000119861
2037,"louisiana","LA",0.000119861
2038,"louisiana","LA",0.000119861
2039,"louisiana","LA",0.000119861
2040,"louisiana","LA",0.000119861
2041,"louisiana","LA",0.000119861
2042,"louisiana","LA",0.000119861
2043,"louisiana","LA",0.000119861
2044,"louisiana","LA",0.000119861
2045,"louisiana","LA",0.000119861
2046,"louisiana","LA",0.000119861
2047,"louisiana","LA",0.000119861
2048,"louisiana","LA",0.000119861
2049,"louisiana","LA",0.000119861
2050,"louisiana","LA",0.000119861
