"Year","Region","iso_code3","frac_agrc_initial_area_cropland_rice"
2024,"louisiana","LA",0.144263536
2025,"louisiana","LA",0.144263536
2026,"louisiana","LA",0.144263536
2027,"louisiana","LA",0.144263536
2028,"louisiana","LA",0.144263536
2029,"louisiana","LA",0.144263536
2030,"louisiana","LA",0.144263536
2031,"louisiana","LA",0.144263536
2032,"louisiana","LA",0.144263536
2033,"louisiana","LA",0.144263536
2034,"louisiana","LA",0.144263536
2035,"louisiana","LA",0.144263536
2036,"louisiana","LA",0.144263536
2037,"louisiana","LA",0.144263536
2038,"louisiana","LA",0.144263536
2039,"louisiana","LA",0.144263536
2040,"louisiana","LA",0.144263536
2041,"louisiana","LA",0.144263536
2042,"louisiana","LA",0.144263536
2043,"louisiana","LA",0.144263536
2044,"louisiana","LA",0.144263536
2045,"louisiana","LA",0.144263536
2046,"louisiana","LA",0.144263536
2047,"louisiana","LA",0.144263536
2048,"louisiana","LA",0.144263536
2049,"louisiana","LA",0.144263536
2050,"louisiana","LA",0.144263536
