"Year","Region","iso_code3","frac_agrc_initial_area_cropland_tubers"
2024,"louisiana","LA",0.000866528
2025,"louisiana","LA",0.000866528
2026,"louisiana","LA",0.000866528
2027,"louisiana","LA",0.000866528
2028,"louisiana","LA",0.000866528
2029,"louisiana","LA",0.000866528
2030,"louisiana","LA",0.000866528
2031,"louisiana","LA",0.000866528
2032,"louisiana","LA",0.000866528
2033,"louisiana","LA",0.000866528
2034,"louisiana","LA",0.000866528
2035,"louisiana","LA",0.000866528
2036,"louisiana","LA",0.000866528
2037,"louisiana","LA",0.000866528
2038,"louisiana","LA",0.000866528
2039,"louisiana","LA",0.000866528
2040,"louisiana","LA",0.000866528
2041,"louisiana","LA",0.000866528
2042,"louisiana","LA",0.000866528
2043,"louisiana","LA",0.000866528
2044,"louisiana","LA",0.000866528
2045,"louisiana","LA",0.000866528
2046,"louisiana","LA",0.000866528
2047,"louisiana","LA",0.000866528
2048,"louisiana","LA",0.000866528
2049,"louisiana","LA",0.000866528
2050,"louisiana","LA",0.000866528
