"Year","Region","iso_code3","frac_lvst_mm_cattle_nondairy_dry_lot"
2021,"louisiana","LA",0.14
2022,"louisiana","LA",0.14
2023,"louisiana","LA",0.14
2024,"louisiana","LA",0.14
2025,"louisiana","LA",0.14
2026,"louisiana","LA",0.14
2027,"louisiana","LA",0.14
2028,"louisiana","LA",0.14
2029,"louisiana","LA",0.14
2030,"louisiana","LA",0.14
2031,"louisiana","LA",0.14
2032,"louisiana","LA",0.14
2033,"louisiana","LA",0.14
2034,"louisiana","LA",0.14
2035,"louisiana","LA",0.14
2036,"louisiana","LA",0.14
2037,"louisiana","LA",0.14
2038,"louisiana","LA",0.14
2039,"louisiana","LA",0.14
2040,"louisiana","LA",0.14
2041,"louisiana","LA",0.14
2042,"louisiana","LA",0.14
2043,"louisiana","LA",0.14
2044,"louisiana","LA",0.14
2045,"louisiana","LA",0.14
2046,"louisiana","LA",0.14
2047,"louisiana","LA",0.14
2048,"louisiana","LA",0.14
2049,"louisiana","LA",0.14
2050,"louisiana","LA",0.14
