"Year","Region","iso_code3","frac_lvst_mm_pigs_liquid_slurry"
2021,"louisiana","LA",0.65
2022,"louisiana","LA",0.65
2023,"louisiana","LA",0.65
2024,"louisiana","LA",0.65
2025,"louisiana","LA",0.65
2026,"louisiana","LA",0.65
2027,"louisiana","LA",0.65
2028,"louisiana","LA",0.65
2029,"louisiana","LA",0.65
2030,"louisiana","LA",0.65
2031,"louisiana","LA",0.65
2032,"louisiana","LA",0.65
2033,"louisiana","LA",0.65
2034,"louisiana","LA",0.65
2035,"louisiana","LA",0.65
2036,"louisiana","LA",0.65
2037,"louisiana","LA",0.65
2038,"louisiana","LA",0.65
2039,"louisiana","LA",0.65
2040,"louisiana","LA",0.65
2041,"louisiana","LA",0.65
2042,"louisiana","LA",0.65
2043,"louisiana","LA",0.65
2044,"louisiana","LA",0.65
2045,"louisiana","LA",0.65
2046,"louisiana","LA",0.65
2047,"louisiana","LA",0.65
2048,"louisiana","LA",0.65
2049,"louisiana","LA",0.65
2050,"louisiana","LA",0.65
