"Year","Region","iso_code3","frac_lvst_mm_pigs_solid_storage"
2021,"louisiana","LA",0.04
2022,"louisiana","LA",0.04
2023,"louisiana","LA",0.04
2024,"louisiana","LA",0.04
2025,"louisiana","LA",0.04
2026,"louisiana","LA",0.04
2027,"louisiana","LA",0.04
2028,"louisiana","LA",0.04
2029,"louisiana","LA",0.04
2030,"louisiana","LA",0.04
2031,"louisiana","LA",0.04
2032,"louisiana","LA",0.04
2033,"louisiana","LA",0.04
2034,"louisiana","LA",0.04
2035,"louisiana","LA",0.04
2036,"louisiana","LA",0.04
2037,"louisiana","LA",0.04
2038,"louisiana","LA",0.04
2039,"louisiana","LA",0.04
2040,"louisiana","LA",0.04
2041,"louisiana","LA",0.04
2042,"louisiana","LA",0.04
2043,"louisiana","LA",0.04
2044,"louisiana","LA",0.04
2045,"louisiana","LA",0.04
2046,"louisiana","LA",0.04
2047,"louisiana","LA",0.04
2048,"louisiana","LA",0.04
2049,"louisiana","LA",0.04
2050,"louisiana","LA",0.04
