"Year","Region","iso_code3","frac_lvst_mm_sheep_solid_storage"
2021,"louisiana","LA",0.54
2022,"louisiana","LA",0.54
2023,"louisiana","LA",0.54
2024,"louisiana","LA",0.54
2025,"louisiana","LA",0.54
2026,"louisiana","LA",0.54
2027,"louisiana","LA",0.54
2028,"louisiana","LA",0.54
2029,"louisiana","LA",0.54
2030,"louisiana","LA",0.54
2031,"louisiana","LA",0.54
2032,"louisiana","LA",0.54
2033,"louisiana","LA",0.54
2034,"louisiana","LA",0.54
2035,"louisiana","LA",0.54
2036,"louisiana","LA",0.54
2037,"louisiana","LA",0.54
2038,"louisiana","LA",0.54
2039,"louisiana","LA",0.54
2040,"louisiana","LA",0.54
2041,"louisiana","LA",0.54
2042,"louisiana","LA",0.54
2043,"louisiana","LA",0.54
2044,"louisiana","LA",0.54
2045,"louisiana","LA",0.54
2046,"louisiana","LA",0.54
2047,"louisiana","LA",0.54
2048,"louisiana","LA",0.54
2049,"louisiana","LA",0.54
2050,"louisiana","LA",0.54
