Year,Region,iso_code3,yf_agrc_fruits_tonne_ha
2020,louisiana,LA,19.38311419
2021,louisiana,LA,19.38311419
2022,louisiana,LA,19.38311419
2023,louisiana,LA,19.38311419
2024,louisiana,LA,19.38311419
2025,louisiana,LA,19.38311419
2026,louisiana,LA,19.38311419
2027,louisiana,LA,19.38311419
2028,louisiana,LA,19.38311419
2029,louisiana,LA,19.38311419
2030,louisiana,LA,19.38311419
2031,louisiana,LA,19.38311419
2032,louisiana,LA,19.38311419
2033,louisiana,LA,19.38311419
2034,louisiana,LA,19.38311419
2035,louisiana,LA,19.38311419
2036,louisiana,LA,19.38311419
2037,louisiana,LA,19.38311419
2038,louisiana,LA,19.38311419
2039,louisiana,LA,19.38311419
2040,louisiana,LA,19.38311419
2041,louisiana,LA,19.38311419
2042,louisiana,LA,19.38311419
2043,louisiana,LA,19.38311419
2044,louisiana,LA,19.38311419
2045,louisiana,LA,19.38311419
2046,louisiana,LA,19.38311419
2047,louisiana,LA,19.38311419
2048,louisiana,LA,19.38311419
2049,louisiana,LA,19.38311419
2050,louisiana,LA,19.38311419
