"Year","Region","iso_code3","frac_agrc_initial_area_cropland_other_annual"
2008,"louisiana","LA",0.262415060787539
2009,"louisiana","LA",0.242525576534905
2010,"louisiana","LA",0.255331490993943
2011,"louisiana","LA",0.255359830657152
2012,"louisiana","LA",0.281846293882202
2013,"louisiana","LA",0.286527075939098
2014,"louisiana","LA",0.348840444730433
2015,"louisiana","LA",0.379901983530061
2016,"louisiana","LA",0.318197161960025
2017,"louisiana","LA",0.375986740519919
2018,"louisiana","LA",0.390757180817884
2019,"louisiana","LA",0.246009046139624
2020,"louisiana","LA",0.279842414627368
2021,"louisiana","LA",0.306288712180517
2022,"louisiana","LA",0.377824287278931
2023,"louisiana","LA",0.307080554367766
