"Year","Region","iso_code3","frac_agrc_initial_area_cropland_rice"
2008,"louisiana","LA",0.109744252788878
2009,"louisiana","LA",0.105921815601737
2010,"louisiana","LA",0.135002633631374
2011,"louisiana","LA",0.0971444980909027
2012,"louisiana","LA",0.0942548955964769
2013,"louisiana","LA",0.0966473853909481
2014,"louisiana","LA",0.104798925047099
2015,"louisiana","LA",0.0922880155503492
2016,"louisiana","LA",0.101495233123517
2017,"louisiana","LA",0.101726997370356
2018,"louisiana","LA",0.109357508007979
2019,"louisiana","LA",0.108995898265853
2020,"louisiana","LA",0.122204564588426
2021,"louisiana","LA",0.10902174062324
2022,"louisiana","LA",0.10397649314568
2023,"louisiana","LA",0.119997630590557
