"iso_code3","frac_waso_initial_composition_mun_food","Year"
"LA",0.149,2021
"LA",0.149,2022
"LA",0.149,2023
"LA",0.149,2024
"LA",0.149,2025
"LA",0.149,2026
"LA",0.149,2027
"LA",0.149,2028
"LA",0.149,2029
"LA",0.149,2030
"LA",0.149,2031
"LA",0.149,2032
"LA",0.149,2033
"LA",0.149,2034
"LA",0.149,2035
"LA",0.149,2036
"LA",0.149,2037
"LA",0.149,2038
"LA",0.149,2039
"LA",0.149,2040
"LA",0.149,2041
"LA",0.149,2042
"LA",0.149,2043
"LA",0.149,2044
"LA",0.149,2045
"LA",0.149,2046
"LA",0.149,2047
"LA",0.149,2048
"LA",0.149,2049
"LA",0.149,2050
