"Year","Region","iso_code3","cost_enfu_fuel_coal_usd_per_tonne"
2024,"louisiana","LA",94.4359198827172
2025,"louisiana","LA",93.4104476317025
2026,"louisiana","LA",92.5241509665977
2027,"louisiana","LA",92.0606203274281
2028,"louisiana","LA",91.847855664311
2029,"louisiana","LA",92.0495619044666
2030,"louisiana","LA",92.663459750964
2031,"louisiana","LA",93.1938706884674
2032,"louisiana","LA",93.5243466038182
2033,"louisiana","LA",94.0021455883322
2034,"louisiana","LA",94.5334551468442
2035,"louisiana","LA",95.1289909191311
2036,"louisiana","LA",95.6490879231821
2037,"louisiana","LA",96.2527825962104
2038,"louisiana","LA",96.8314068891644
2039,"louisiana","LA",97.439566044125
2040,"louisiana","LA",98.0726160027737
2041,"louisiana","LA",98.6382601529491
2042,"louisiana","LA",99.2612662236139
2043,"louisiana","LA",99.991082086721
2044,"louisiana","LA",100.415818422989
2045,"louisiana","LA",101.279048573785
2046,"louisiana","LA",101.914109321389
2047,"louisiana","LA",102.58844398582
2048,"louisiana","LA",103.365460074055
2049,"louisiana","LA",104.138577759514
2050,"louisiana","LA",105.11466942708
