"Year","Region","iso_code3","cost_enfu_fuel_coke_usd_per_tonne"
2024,"louisiana","LA",99.3757497467121
2025,"louisiana","LA",98.296636270446
2026,"louisiana","LA",97.3639784882993
2027,"louisiana","LA",96.8762011165612
2028,"louisiana","LA",96.6523069887429
2029,"louisiana","LA",96.8645642407392
2030,"louisiana","LA",97.5105743483268
2031,"louisiana","LA",98.0687304467025
2032,"louisiana","LA",98.4164931613772
2033,"louisiana","LA",98.9192852385155
2034,"louisiana","LA",99.4783869636885
2035,"louisiana","LA",100.105074498956
2036,"louisiana","LA",100.652377154373
2037,"louisiana","LA",101.287650372708
2038,"louisiana","LA",101.896541809413
2039,"louisiana","LA",102.536513041383
2040,"louisiana","LA",103.20267708517
2041,"louisiana","LA",103.797909403374
2042,"louisiana","LA",104.453504175426
2043,"louisiana","LA",105.221495832239
2044,"louisiana","LA",105.668449617554
2045,"louisiana","LA",106.576834303655
2046,"louisiana","LA",107.245114318359
2047,"louisiana","LA",107.954722621442
2048,"louisiana","LA",108.772383490628
2049,"louisiana","LA",109.585942036257
2050,"louisiana","LA",110.613091889896
