"Year","Region","iso_code3","cost_enfu_fuel_crude_usd_per_m3"
2024,"louisiana","LA",338.485810174902
2025,"louisiana","LA",346.837823407128
2026,"louisiana","LA",355.626674892592
2027,"louisiana","LA",364.119748574664
2028,"louisiana","LA",368.190972570287
2029,"louisiana","LA",376.440080871968
2030,"louisiana","LA",383.268059940976
2031,"louisiana","LA",392.299442348418
2032,"louisiana","LA",396.883074230413
2033,"louisiana","LA",411.426483973682
2034,"louisiana","LA",418.048089068742
2035,"louisiana","LA",426.338920231998
2036,"louisiana","LA",437.428852540611
2037,"louisiana","LA",439.495428961895
2038,"louisiana","LA",447.736628938539
2039,"louisiana","LA",455.526538627738
2040,"louisiana","LA",460.622857766284
2041,"louisiana","LA",466.051348046402
2042,"louisiana","LA",478.288804105919
2043,"louisiana","LA",484.172812833675
2044,"louisiana","LA",491.05379164894
2045,"louisiana","LA",501.534009289202
2046,"louisiana","LA",505.288309307963
2047,"louisiana","LA",517.995005188857
2048,"louisiana","LA",527.77189228864
2049,"louisiana","LA",535.709035434118
2050,"louisiana","LA",541.137036816426
