"Year","Region","iso_code3","cost_enfu_fuel_furnace_gas_usd_per_m3"
2024,"louisiana","LA",13725.64626
2025,"louisiana","LA",13725.64626
2026,"louisiana","LA",13725.64626
2027,"louisiana","LA",13725.64626
2028,"louisiana","LA",13725.64626
2029,"louisiana","LA",13725.64626
2030,"louisiana","LA",13725.64626
2031,"louisiana","LA",13725.64626
2032,"louisiana","LA",13725.64626
2033,"louisiana","LA",13725.64626
2034,"louisiana","LA",13725.64626
2035,"louisiana","LA",13725.64626
2036,"louisiana","LA",13725.64626
2037,"louisiana","LA",13725.64626
2038,"louisiana","LA",13725.64626
2039,"louisiana","LA",13725.64626
2040,"louisiana","LA",13725.64626
2041,"louisiana","LA",13725.64626
2042,"louisiana","LA",13725.64626
2043,"louisiana","LA",13725.64626
2044,"louisiana","LA",13725.64626
2045,"louisiana","LA",13725.64626
2046,"louisiana","LA",13725.64626
2047,"louisiana","LA",13725.64626
2048,"louisiana","LA",13725.64626
2049,"louisiana","LA",13725.64626
2050,"louisiana","LA",13725.64626
