"Year","Region","iso_code3","cost_enfu_fuel_hydrocarbon_gas_liquids_usd_per_mmbtu"
2024,"louisiana","LA",187.580056853783
2025,"louisiana","LA",187.580056853783
2026,"louisiana","LA",187.580056853783
2027,"louisiana","LA",187.580056853783
2028,"louisiana","LA",187.580056853783
2029,"louisiana","LA",187.580056853783
2030,"louisiana","LA",187.580056853783
2031,"louisiana","LA",187.580056853783
2032,"louisiana","LA",187.580056853783
2033,"louisiana","LA",187.580056853783
2034,"louisiana","LA",187.580056853783
2035,"louisiana","LA",187.580056853783
2036,"louisiana","LA",187.580056853783
2037,"louisiana","LA",187.580056853783
2038,"louisiana","LA",187.580056853783
2039,"louisiana","LA",187.580056853783
2040,"louisiana","LA",187.580056853783
2041,"louisiana","LA",187.580056853783
2042,"louisiana","LA",187.580056853783
2043,"louisiana","LA",187.580056853783
2044,"louisiana","LA",187.580056853783
2045,"louisiana","LA",187.580056853783
2046,"louisiana","LA",187.580056853783
2047,"louisiana","LA",187.580056853783
2048,"louisiana","LA",187.580056853783
2049,"louisiana","LA",187.580056853783
2050,"louisiana","LA",187.580056853783
