"Year","Region","iso_code3","cost_enfu_fuel_hydrogen_usd_per_mmbtu"
2024,"louisiana","LA",48.6588212032351
2025,"louisiana","LA",42.7425480078499
2026,"louisiana","LA",36.8262748124663
2027,"louisiana","LA",30.9100016170811
2028,"louisiana","LA",24.9937284216959
2029,"louisiana","LA",19.0774552263123
2030,"louisiana","LA",13.1611820309271
2031,"louisiana","LA",12.8405034839796
2032,"louisiana","LA",12.5198249370332
2033,"louisiana","LA",12.1991463900867
2034,"louisiana","LA",11.8784678431403
2035,"louisiana","LA",11.557789296194
2036,"louisiana","LA",11.2371107492475
2037,"louisiana","LA",10.9164322023011
2038,"louisiana","LA",10.5957536553546
2039,"louisiana","LA",10.2750751084082
2040,"louisiana","LA",9.95439656146186
2041,"louisiana","LA",9.63371801451542
2042,"louisiana","LA",9.31303946756898
2043,"louisiana","LA",8.99236092062254
2044,"louisiana","LA",8.6716823736761
2045,"louisiana","LA",8.35100382672966
2046,"louisiana","LA",8.03032527978332
2047,"louisiana","LA",7.70964673283688
2048,"louisiana","LA",7.38896818589044
2049,"louisiana","LA",7.068289638944
2050,"louisiana","LA",6.74761109199756
