"Year","Region","iso_code3","cost_enfu_fuel_nuclear_usd_per_tonne"
2024,"louisiana","LA",52282259.7103482
2025,"louisiana","LA",52434457.4242223
2026,"louisiana","LA",52510556.2811594
2027,"louisiana","LA",52662753.9950335
2028,"louisiana","LA",52738852.8519705
2029,"louisiana","LA",52891050.5658446
2030,"louisiana","LA",53043248.2797187
2031,"louisiana","LA",53119347.1366557
2032,"louisiana","LA",53271544.8505298
2033,"louisiana","LA",53423742.5644039
2034,"louisiana","LA",53499841.421341
2035,"louisiana","LA",53652114.7802021
2036,"louisiana","LA",53804312.4940762
2037,"louisiana","LA",53880411.3510132
2038,"louisiana","LA",54032609.0648873
2039,"louisiana","LA",54184806.7787614
2040,"louisiana","LA",54337004.4926355
2041,"louisiana","LA",54489202.2065096
2042,"louisiana","LA",54641399.9203837
2043,"louisiana","LA",54793597.6342578
2044,"louisiana","LA",54945795.3481319
2045,"louisiana","LA",55097993.062006
2046,"louisiana","LA",55250190.77588
2047,"louisiana","LA",55402464.1347412
2048,"louisiana","LA",55554661.8486152
2049,"louisiana","LA",55706859.5624893
2050,"louisiana","LA",55859057.2763634
