,Chained 2012 Value (millions of dollars),Chained 2012 Value (millions of dollars),Chained 2012 Value (millions of dollars),Chained 2012 Value (millions of dollars),Chained 2012 Value (millions of dollars),Chained 2012 Value Percent Change,Chained 2012 Value Percent Change,Chained 2012 Value Percent Change,Chained 2012 Value Percent Change,Chained 2012 Value Percent Change,Current Value (millions of dollars),Current Value (millions of dollars),Current Value (millions of dollars),Current Value (millions of dollars),Current Value (millions of dollars),Current Value Percent Change,Current Value Percent Change,Current Value Percent Change,Current Value Percent Change,Current Value Percent Change,Tons (thousands),Tons (thousands),Tons (thousands),Tons (thousands),Tons (thousands),Tons Percent Change,Tons Percent Change,Tons Percent Change,Tons Percent Change,Tons Percent Change,Ton Miles (millions),Ton Miles (millions),Ton Miles (millions),Ton Miles (millions),Ton Miles (millions),Ton Miles Percent Change,Ton Miles Percent Change,Ton Miles Percent Change,Ton Miles Percent Change,Ton Miles Percent Change
Origin State,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022
Alabama,290.37,285.696,267.364,271.457,281.452,,"-1,61%","-6,42%","1,53%","3,68%",302.978,295.075,270.507,321.296,385.813,,"-2,61%","-8,33%","18,78%","20,08%",409.84,405.034,389.63,402.878,390.039,,"-1,17%","-3,80%","3,40%","-3,19%",102.103,99.844,95.322,97.51,95.4,,"-2,21%","-4,53%","2,30%","-2,16%"
Alaska,49.53,46.62,43.171,47.396,47.698,,"-5,87%","-7,40%","9,79%","0,64%",53.725,49.288,41.44,56.675,68.323,,"-8,26%","-15,92%","36,76%","20,55%",54.794,54.605,50.472,51.259,49.529,,"-0,35%","-7,57%","1,56%","-3,37%",81.416,79.126,75.529,73.925,71.776,,"-2,81%","-4,55%","-2,12%","-2,91%"
Arizona,230.434,230.134,216.782,222.29,227.962,,"-0,13%","-5,80%","2,54%","2,55%",237.37,238.83,225.561,256.337,296.655,,"0,62%","-5,56%","13,64%","15,73%",190.526,193.595,190.916,194.372,187.971,,"1,61%","-1,38%","1,81%","-3,29%",41.648,42.242,40.892,42.68,42.827,,"1,43%","-3,20%","4,37%","0,34%"
Arkansas,148.254,145.832,142.118,140.211,141.171,,"-1,63%","-2,55%","-1,34%","0,69%",152.862,149.141,143.74,167.998,197.935,,"-2,43%","-3,62%","16,88%","17,82%",244.003,242.353,236.283,242.384,243.082,,"-0,68%","-2,50%","2,58%","0,29%",57.948,57.504,56.169,55.426,55.589,,"-0,77%","-2,32%","-1,32%","0,29%"
California,2.361.437,2.300.388,2.208.021,2.265.161,2.267.114,,"-2,59%","-4,02%","2,59%","0,09%",2.441.142,2.388.278,2.267.462,2.568.356,2.917.096,,"-2,17%","-5,06%","13,27%","13,58%",1.248.334,1.228.238,1.162.530,1.185.603,1.169.976,,"-1,61%","-5,35%","1,98%","-1,32%",363.751,357.33,347.434,342.831,338.161,,"-1,77%","-2,77%","-1,32%","-1,36%"
Colorado,220.423,217.549,206.901,207.961,209.723,,"-1,30%","-4,89%","0,51%","0,85%",228.749,223.877,208.788,242.434,284.538,,"-2,13%","-6,74%","16,11%","17,37%",300.26,297.861,273.626,270.888,269.482,,"-0,80%","-8,14%","-1,00%","-0,52%",96.413,95.586,84.512,85.055,84.389,,"-0,86%","-11,58%","0,64%","-0,78%"
Connecticut,200.566,194.689,181.681,181.986,186.049,,"-2,93%","-6,68%","0,17%","2,23%",210.447,203.547,186.051,214.258,255.88,,"-3,28%","-8,60%","15,16%","19,43%",127.874,126.63,120.039,115.285,123.819,,"-0,97%","-5,20%","-3,96%","7,40%",15.925,15.105,14.189,13.799,14.366,,"-5,15%","-6,06%","-2,75%","4,10%"
Delaware,65.461,64.463,61.674,62.481,64.049,,"-1,52%","-4,33%","1,31%","2,51%",69.028,67.335,62.485,73.07,87.113,,"-2,45%","-7,20%","16,94%","19,22%",46.118,45.312,41.436,42.028,41.835,,"-1,75%","-8,56%","1,43%","-0,46%",7.391,7.557,7.061,7.188,6.783,,"2,24%","-6,56%","1,80%","-5,64%"
District of Columbia,14.454,16.838,14.314,13.865,14.86,,"16,50%","-14,99%","-3,14%","7,17%",14.872,17.571,14.893,15.529,18.009,,"18,16%","-15,24%","4,27%","15,97%",7.141,7.164,6.96,6.593,6.612,,"0,32%","-2,85%","-5,27%","0,29%",773,671,681,542,474,,"-13,27%","1,60%","-20,40%","-12,58%"
Florida,678.305,672.691,640.312,658.557,673.649,,"-0,83%","-4,81%","2,85%","2,29%",701.016,698.568,659.488,756.489,882.469,,"-0,35%","-5,59%","14,71%","16,65%",694.027,693.13,681.586,692.354,676.297,,"-0,13%","-1,67%","1,58%","-2,32%",119.03,117.738,116.68,115.755,114.141,,"-1,08%","-0,90%","-0,79%","-1,39%"
Georgia,660.182,652.888,625.043,638.829,652.745,,"-1,10%","-4,26%","2,21%","2,18%",680.273,676.05,643.965,730.813,841.713,,"-0,62%","-4,75%","13,49%","15,17%",463.226,458.347,445.438,448.248,447.626,,"-1,05%","-2,82%","0,63%","-0,14%",105.581,103.821,101.238,101.528,101.804,,"-1,67%","-2,49%","0,29%","0,27%"
