,iso_code3,Region,Year,efficfactor_scoe_heat_energy_residential_coal
0,LA,louisiana,2024,0.82
1,LA,louisiana,2025,0.82
2,LA,louisiana,2026,0.82
3,LA,louisiana,2027,0.82
4,LA,louisiana,2028,0.82
5,LA,louisiana,2029,0.82
6,LA,louisiana,2030,0.82
7,LA,louisiana,2031,0.82
8,LA,louisiana,2032,0.82
9,LA,louisiana,2033,0.82
10,LA,louisiana,2034,0.82
11,LA,louisiana,2035,0.82
12,LA,louisiana,2036,0.82
13,LA,louisiana,2037,0.82
14,LA,louisiana,2038,0.82
15,LA,louisiana,2039,0.82
16,LA,louisiana,2040,0.82
17,LA,louisiana,2041,0.82
18,LA,louisiana,2042,0.82
19,LA,louisiana,2043,0.82
20,LA,louisiana,2044,0.82
21,LA,louisiana,2045,0.82
22,LA,louisiana,2046,0.82
23,LA,louisiana,2047,0.82
24,LA,louisiana,2048,0.82
25,LA,louisiana,2049,0.82
26,LA,louisiana,2050,0.82
