,iso_code3,Region,Year,efficfactor_scoe_heat_energy_residential_electricity
0,LA,louisiana,2024,3
1,LA,louisiana,2025,3
2,LA,louisiana,2026,3
3,LA,louisiana,2027,3
4,LA,louisiana,2028,3
5,LA,louisiana,2029,3
6,LA,louisiana,2030,3
7,LA,louisiana,2031,3
8,LA,louisiana,2032,3
9,LA,louisiana,2033,3
10,LA,louisiana,2034,3
11,LA,louisiana,2035,3
12,LA,louisiana,2036,3
13,LA,louisiana,2037,3
14,LA,louisiana,2038,3
15,LA,louisiana,2039,3
16,LA,louisiana,2040,3
17,LA,louisiana,2041,3
18,LA,louisiana,2042,3
19,LA,louisiana,2043,3
20,LA,louisiana,2044,3
21,LA,louisiana,2045,3
22,LA,louisiana,2046,3
23,LA,louisiana,2047,3
24,LA,louisiana,2048,3
25,LA,louisiana,2049,3
26,LA,louisiana,2050,3
