"Year","Region","iso_code3","frac_inen_energy_agriculture_and_livestock_diesel"
2021,"louisiana","LA",0.080577322031889
2022,"louisiana","LA",0.080577322031889
2023,"louisiana","LA",0.080577322031889
2024,"louisiana","LA",0.080577322031889
2025,"louisiana","LA",0.080577322031889
2026,"louisiana","LA",0.080577322031889
2027,"louisiana","LA",0.080577322031889
2028,"louisiana","LA",0.080577322031889
2029,"louisiana","LA",0.080577322031889
2030,"louisiana","LA",0.080577322031889
2031,"louisiana","LA",0.080577322031889
2032,"louisiana","LA",0.080577322031889
2033,"louisiana","LA",0.080577322031889
2034,"louisiana","LA",0.080577322031889
2035,"louisiana","LA",0.080577322031889
2036,"louisiana","LA",0.080577322031889
2037,"louisiana","LA",0.080577322031889
2038,"louisiana","LA",0.080577322031889
2039,"louisiana","LA",0.080577322031889
2040,"louisiana","LA",0.080577322031889
2041,"louisiana","LA",0.080577322031889
2042,"louisiana","LA",0.080577322031889
2043,"louisiana","LA",0.080577322031889
2044,"louisiana","LA",0.080577322031889
2045,"louisiana","LA",0.080577322031889
2046,"louisiana","LA",0.080577322031889
2047,"louisiana","LA",0.080577322031889
2048,"louisiana","LA",0.080577322031889
2049,"louisiana","LA",0.080577322031889
2050,"louisiana","LA",0.080577322031889
