iso_code3,Region,Year,frac_inen_energy_recycled_metals_solid_biomass
LA,louisiana,2021,0.0001376074565362
LA,louisiana,2022,5.0609433594734745e-05
LA,louisiana,2023,6.823631063686206e-05
LA,louisiana,2024,7.396462287870751e-05
LA,louisiana,2025,6.572255554444087e-05
LA,louisiana,2026,6.383191099275135e-05
LA,louisiana,2027,6.503414097181221e-05
LA,louisiana,2028,6.400188313639223e-05
LA,louisiana,2029,6.213217347885341e-05
LA,louisiana,2030,6.059151215218814e-05
LA,louisiana,2031,5.894266657507412e-05
LA,louisiana,2032,5.70080141104048e-05
LA,louisiana,2033,5.495985882965466e-05
LA,louisiana,2034,5.284858013628702e-05
LA,louisiana,2035,5.064541707683212e-05
LA,louisiana,2036,4.835677137865028e-05
LA,louisiana,2037,4.600045741037473e-05
LA,louisiana,2038,4.35814330183687e-05
LA,louisiana,2039,4.110146021097517e-05
LA,louisiana,2040,3.856429162943627e-05
LA,louisiana,2041,3.597291182000138e-05
LA,louisiana,2042,3.33288520276392e-05
LA,louisiana,2043,3.063315968568888e-05
LA,louisiana,2044,2.788660147925493e-05
LA,louisiana,2045,2.5089524515380775e-05
LA,louisiana,2046,2.224192681081265e-05
LA,louisiana,2047,1.934356495721448e-05
LA,louisiana,2048,1.639398834113726e-05
LA,louisiana,2049,1.3392560172585331e-05
LA,louisiana,2050,1.0338487595443092e-05
