iso_code3,Region,Year,frac_inen_energy_recycled_wood_coal
LA,louisiana,2021,0.0006228651379113
LA,louisiana,2022,0.0006265980219675
LA,louisiana,2023,0.0006473551190099
LA,louisiana,2024,0.0005797829135162
LA,louisiana,2025,0.0004677850897321
LA,louisiana,2026,0.0003498933585195
LA,louisiana,2027,0.0002425378564925
LA,louisiana,2028,0.0001472414149757
LA,louisiana,2029,5.9897651804982464e-05
LA,louisiana,2030,0.0
LA,louisiana,2031,0.0
LA,louisiana,2032,0.0
LA,louisiana,2033,0.0
LA,louisiana,2034,0.0
LA,louisiana,2035,0.0
LA,louisiana,2036,0.0
LA,louisiana,2037,0.0
LA,louisiana,2038,0.0
LA,louisiana,2039,0.0
LA,louisiana,2040,0.0
LA,louisiana,2041,0.0
LA,louisiana,2042,0.0
LA,louisiana,2043,0.0
LA,louisiana,2044,0.0
LA,louisiana,2045,0.0
LA,louisiana,2046,0.0
LA,louisiana,2047,0.0
LA,louisiana,2048,0.0
LA,louisiana,2049,0.0
LA,louisiana,2050,0.0
