Year,frac_scoe_heat_energy_commercial_municipal_electricity,Iso_code3,Region
2022,0.64,LA,louisiana
2023,0.63,LA,louisiana
2024,0.62,LA,louisiana
2025,0.61,LA,louisiana
2026,0.61,LA,louisiana
2027,0.6,LA,louisiana
2028,0.59,LA,louisiana
2029,0.58,LA,louisiana
2030,0.57,LA,louisiana
2031,0.57,LA,louisiana
2032,0.56,LA,louisiana
2033,0.55,LA,louisiana
2034,0.54,LA,louisiana
2035,0.54,LA,louisiana
2036,0.53,LA,louisiana
2037,0.52,LA,louisiana
2038,0.51,LA,louisiana
2039,0.5,LA,louisiana
2040,0.5,LA,louisiana
2041,0.49,LA,louisiana
2042,0.48,LA,louisiana
2043,0.47,LA,louisiana
2044,0.47,LA,louisiana
2045,0.46,LA,louisiana
2046,0.45,LA,louisiana
2047,0.44,LA,louisiana
2048,0.43,LA,louisiana
2049,0.43,LA,louisiana
2050,0.42,LA,louisiana
