iso_code3,Region,Year,frac_trns_fuelmix_aviation_hydrogen
LA,louisiana,2020,0.13
LA,louisiana,2021,0.13
LA,louisiana,2022,0.13
LA,louisiana,2023,0.13
LA,louisiana,2024,0.13
LA,louisiana,2025,0.13
LA,louisiana,2026,0.13
LA,louisiana,2027,0.13
LA,louisiana,2028,0.13
LA,louisiana,2029,0.13
LA,louisiana,2030,0.13
LA,louisiana,2031,0.13
LA,louisiana,2032,0.13
LA,louisiana,2033,0.13
LA,louisiana,2034,0.13
LA,louisiana,2035,0.13
LA,louisiana,2036,0.13
LA,louisiana,2037,0.13
LA,louisiana,2038,0.13
LA,louisiana,2039,0.13
LA,louisiana,2040,0.13
LA,louisiana,2041,0.13
LA,louisiana,2042,0.13
LA,louisiana,2043,0.13
LA,louisiana,2044,0.13
LA,louisiana,2045,0.13
LA,louisiana,2046,0.13
LA,louisiana,2047,0.13
LA,louisiana,2048,0.13
LA,louisiana,2049,0.13
LA,louisiana,2050,0.13
