,Year,frac_trns_pkm_dem_regional_water_borne,iso_code3,Region
0,2011,8.968271713570374e-05,LA,louisiana
1,2012,9.152247431722922e-05,LA,louisiana
2,2013,9.084090992078748e-05,LA,louisiana
3,2014,9.290147265217743e-05,LA,louisiana
4,2015,9.741111292166714e-05,LA,louisiana
5,2016,0.0001034915870621826,LA,louisiana
6,2017,0.00010167167405948479,LA,louisiana
7,2018,0.00010696808099910763,LA,louisiana
8,2019,0.0001110651393223641,LA,louisiana
9,2020,0.0001065585548875394,LA,louisiana
10,2021,6.080624249148174e-05,LA,louisiana
