iso_code3,Region,Year,nemomod_entc_residual_capacity_pp_coal_gw
LA,louisiana,2025,4.3309
LA,louisiana,2026,4.3309
LA,louisiana,2027,4.3309
LA,louisiana,2028,4.3309
LA,louisiana,2029,4.3309
LA,louisiana,2030,4.3309
LA,louisiana,2031,2.428
LA,louisiana,2032,2.428
LA,louisiana,2033,2.428
LA,louisiana,2034,2.428
LA,louisiana,2035,2.428
LA,louisiana,2036,1.7073
LA,louisiana,2037,1.7073
LA,louisiana,2038,1.7073
LA,louisiana,2039,1.7073
LA,louisiana,2040,1.7073
LA,louisiana,2041,0.0
LA,louisiana,2042,0.0
LA,louisiana,2043,0.0
LA,louisiana,2044,0.0
LA,louisiana,2045,0.0
LA,louisiana,2046,0.0
LA,louisiana,2047,0.0
LA,louisiana,2048,0.0
LA,louisiana,2049,0.0
LA,louisiana,2050,0.0
