,iso_code3,Region,Year,occrate_trns_passenger_per_vehicle_public
0,LA,louisiana,2024,6.8
1,LA,louisiana,2025,6.8
2,LA,louisiana,2026,6.8
3,LA,louisiana,2027,6.8
4,LA,louisiana,2028,6.8
5,LA,louisiana,2029,6.8
6,LA,louisiana,2030,6.8
7,LA,louisiana,2031,6.8
8,LA,louisiana,2032,6.8
9,LA,louisiana,2033,6.8
10,LA,louisiana,2034,6.8
11,LA,louisiana,2035,6.8
12,LA,louisiana,2036,6.8
13,LA,louisiana,2037,6.8
14,LA,louisiana,2038,6.8
15,LA,louisiana,2039,6.8
16,LA,louisiana,2040,6.8
17,LA,louisiana,2041,6.8
18,LA,louisiana,2042,6.8
19,LA,louisiana,2043,6.8
20,LA,louisiana,2044,6.8
21,LA,louisiana,2045,6.8
22,LA,louisiana,2046,6.8
23,LA,louisiana,2047,6.8
24,LA,louisiana,2048,6.8
25,LA,louisiana,2049,6.8
26,LA,louisiana,2050,6.8
