Year,iso_code3,ef_ippu_tonne_c4h5f5_per_mmm_gdp_product_use_ods_other
2010,ABW,0.0
2011,ABW,0.0
2012,ABW,0.0
2013,ABW,0.0
2014,ABW,0.0
2015,ABW,0.0
2016,ABW,0.0
2017,ABW,0.0
2018,ABW,0.0
2019,ABW,0.0
2020,ABW,0.0
2010,AFG,0.0
2011,AFG,0.0
2012,AFG,0.0
2013,AFG,0.0
2014,AFG,0.0
2015,AFG,0.0
2016,AFG,0.0
2017,AFG,0.0
2018,AFG,0.0
2019,AFG,0.0
2020,AFG,0.0
2010,AGO,0.0289462298851753
2011,AGO,0.0283582909848241
2012,AGO,0.0290801860096346
2013,AGO,0.0287637790437242
2014,AGO,0.0276304188591692
2015,AGO,0.0256441001013666
2016,AGO,0.0265680205016643
2017,AGO,0.0281784260022874
2018,AGO,0.0306932391215636
2019,AGO,0.0308725338240349
2020,AGO,0.0310539355363304
2010,ALB,0.0659982869089827
2011,ALB,0.067003356483919
2012,ALB,0.0709590232668206
2013,ALB,0.0722733306747949
2014,ALB,0.0713082580494912
2015,ALB,0.0678264852173582
2016,ALB,0.0683216132325495
2017,ALB,0.0704858216366409
2018,ALB,0.0747142011603165
2019,ALB,0.0731625506872839
2020,ALB,0.0716740377558613
2010,AND,0.0421157783819209
2011,AND,0.0500694260059421
2012,AND,0.0516816013799568
2013,AND,0.0521786006111649
2014,AND,0.0633978760884364
2015,AND,0.0673312481934271
2016,AND,0.065692423128991
2017,AND,0.0622026008998533
2018,AND,0.071244693514796
2019,AND,0.0708396726410554
2020,AND,0.0704392307641625
2010,ARE,0.3306161016533431
2011,ARE,0.334220427577489
2012,ARE,0.352546442267151
2013,ARE,0.3577447207784333
2014,ARE,0.3517423209821244
2015,ARE,0.3334781302525665
2016,ARE,0.3394543524707584
2017,ARE,0.3537754560065203
2018,ARE,0.3786932076456332
2019,ARE,0.3743641661134652
2020,ARE,0.3701329810406933
2010,ARG,0.1624588223438198
2011,ARG,0.1647621329858175
2012,ARG,0.1743204963005577
2013,ARG,0.1773884879001643
2014,ARG,0.1748710078299981
2015,ARG,0.1661995682046328
2016,ARG,0.1737934809437427
2017,ARG,0.186083480353009
2018,ARG,0.2046626546990277
2019,ARG,0.2079044825416073
2020,ARG,0.2112506635230846
2010,ARM,0.1081731871971892
2011,ARM,0.1087414266862968
2012,ARM,0.1141123136800771
2013,ARM,0.1152419799095793
2014,ARM,0.112806031863781
2015,ARM,0.1065071578437899
2016,ARM,0.1054412305120187
2017,ARM,0.1070219090759621
2018,ARM,0.1117120636092466
2019,ARM,0.1078161032823098
2020,ARM,0.1041827286540516
2010,ASM,0.0
2011,ASM,0.0
2012,ASM,0.0
2013,ASM,0.0
2014,ASM,0.0
2015,ASM,0.0
2016,ASM,0.0
2017,ASM,0.0
2018,ASM,0.0
2019,ASM,0.0
2020,ASM,0.0
2010,ATG,0.0
2011,ATG,0.0
2012,ATG,0.0
2013,ATG,0.0
2014,ATG,0.0
2015,ATG,0.0
2016,ATG,0.0
2017,ATG,0.0
2018,ATG,0.0
2019,ATG,0.0
2020,ATG,0.0
2010,AUS,0.0733779022003561
2011,AUS,0.0740546714909005
2012,AUS,0.0644865836703343
2013,AUS,0.0614609037378379
2014,AUS,0.0577547681736512
2015,AUS,0.0631275423214661
2016,AUS,0.0603279984967281
2017,AUS,0.0571875711146461
2018,AUS,0.0563845623495144
2019,AUS,0.0554710845798472
2020,AUS,0.0545867331689154
2010,AUT,0.0071597910381618
2011,AUT,0.0068294570918669
2012,AUT,0.0065180789813314
2013,AUT,0.006224286854521
2014,AUT,0.0059468269680274
2015,AUT,0.0056845578374438
2016,AUT,0.0054932499848179
2017,AUT,0.0053090361256215
2018,AUT,0.005131616863774
2019,AUT,0.0050764572073885
2020,AUT,0.0050224707604831
2010,AZE,0.0
2011,AZE,0.0
2012,AZE,0.0
2013,AZE,0.0
2014,AZE,0.0
2015,AZE,0.0
2016,AZE,0.0
2017,AZE,0.0
2018,AZE,0.0
2019,AZE,0.0
2020,AZE,0.0
2010,BDI,0.5005808541625335
2011,BDI,0.4930104707411383
2012,BDI,0.507912138747415
2013,BDI,0.5044539512834837
2014,BDI,0.4863555035638273
2015,BDI,0.4528779572526156
2016,BDI,0.4646187810401836
2017,BDI,0.4879674218445942
2018,BDI,0.5263156892000741
2019,BDI,0.524200755709721
2020,BDI,0.5221027513808381
2010,BEL,0.0543229224693644
2011,BEL,0.0190328712956058
2012,BEL,0.0050625745688384
2013,BEL,0.0024002308577401
2014,BEL,0.0123317157975237
2015,BEL,0.0202801899418311
2016,BEL,0.0231574601050062
2017,BEL,0.0332597544870597
2018,BEL,0.0217703624110032
2019,BEL,0.0216172079812727
2020,BEL,0.0214661933797017
2010,BEN,0.4428887036889814
2011,BEN,0.4397465115088946
2012,BEN,0.4563218246672779
2013,BEN,0.4561552042575442
2014,BEN,0.4423584465283744
2015,BEN,0.4140868399559763
2016,BEN,0.4039455182788773
2017,BEN,0.404527107791418
2018,BEN,0.4170888287911534
2019,BEN,0.3980128462827921
2020,BEN,0.3806054674729966
2010,BFA,0.3890353835921837
2011,BFA,0.3804972725680208
2012,BFA,0.389614894398249
2013,BFA,0.384881365455775
2014,BFA,0.3692954127683264
2015,BFA,0.342398789180682
2016,BFA,0.3354627371512501
2017,BFA,0.3372620997531408
2018,BFA,0.3489713254777968
2019,BFA,0.3340899073161147
2020,BFA,0.3204257761496478
2010,BGD,0.0772194477199883
2011,BGD,0.075818437439481
2012,BGD,0.0778991986380919
2013,BGD,0.0771835022798304
2014,BGD,0.0742551763088717
2015,BGD,0.0690109887369563
2016,BGD,0.0659898864365264
2017,BGD,0.0649304411463157
2018,BGD,0.065905743950539
2019,BGD,0.0620153929598917
2020,BGD,0.0585587290069843
2010,BGR,0.0
2011,BGR,0.0
2012,BGR,0.0
2013,BGR,0.0
2014,BGR,0.0
2015,BGR,0.0
2016,BGR,0.0
2017,BGR,0.0
2018,BGR,0.0
2019,BGR,0.0
2020,BGR,0.0
2010,BHR,0.3761726407139003
2011,BHR,0.3751677870552905
2012,BHR,0.3908699805478229
2013,BHR,0.3921448673660193
2014,BHR,0.381538507951392
2015,BHR,0.3582296664548062
2016,BHR,0.3623382396336106
2017,BHR,0.3753017046651551
2018,BHR,0.3993357796369791
2019,BHR,0.3924798221674985
2020,BHR,0.3858553029501013
2010,BHS,0.0
2011,BHS,0.0
2012,BHS,0.0
2013,BHS,0.0
2014,BHS,0.0
2015,BHS,0.0
2016,BHS,0.0
2017,BHS,0.0
2018,BHS,0.0
2019,BHS,0.0
2020,BHS,0.0
2010,BIH,0.0
2011,BIH,0.0
2012,BIH,0.0
2013,BIH,0.0
2014,BIH,0.0
2015,BIH,0.0
2016,BIH,0.0
2017,BIH,0.0
2018,BIH,0.0
2019,BIH,0.0
2020,BIH,0.0
2010,BLR,0.0
2011,BLR,0.0
2012,BLR,0.0
2013,BLR,0.0
2014,BLR,0.0
2015,BLR,0.0
2016,BLR,0.0
2017,BLR,0.0
2018,BLR,0.0
2019,BLR,0.0
2020,BLR,0.0
2010,BLZ,0.0
2011,BLZ,0.0
2012,BLZ,0.0
2013,BLZ,0.0
2014,BLZ,0.0
2015,BLZ,0.0
2016,BLZ,0.0
2017,BLZ,0.0
2018,BLZ,0.0
2019,BLZ,0.0
2020,BLZ,0.0
2010,BMU,0.0
2011,BMU,0.0
2012,BMU,0.0
2013,BMU,0.0
2014,BMU,0.0
2015,BMU,0.0
2016,BMU,0.0
2017,BMU,0.0
2018,BMU,0.0
2019,BMU,0.0
2020,BMU,0.0
2010,BOL,0.0
2011,BOL,0.0
2012,BOL,0.0
2013,BOL,0.0
2014,BOL,0.0
2015,BOL,0.0
2016,BOL,0.0
2017,BOL,0.0
2018,BOL,0.0
2019,BOL,0.0
2020,BOL,0.0
2010,BRA,0.0
2011,BRA,0.0
2012,BRA,0.0
2013,BRA,0.0
2014,BRA,0.0
2015,BRA,0.0
2016,BRA,0.0
2017,BRA,0.0
2018,BRA,0.0
2019,BRA,0.0
2020,BRA,0.0
2010,BRB,0.0
2011,BRB,0.0
2012,BRB,0.0
2013,BRB,0.0
2014,BRB,0.0
2015,BRB,0.0
2016,BRB,0.0
2017,BRB,0.0
2018,BRB,0.0
2019,BRB,0.0
2020,BRB,0.0
2010,BRN,0.0803473110178054
2011,BRN,0.0841747392068088
2012,BRN,0.0918880492127587
2013,BRN,0.0963708770511028
2014,BRN,0.0978141231371075
2015,BRN,0.0956221188485675
2016,BRN,0.0976860931743504
2017,BRN,0.1021663953623188
2018,BRN,0.1097405058898567
2019,BRN,0.108853760099052
2020,BRN,0.1079812299393068
2010,BTN,0.0
2011,BTN,0.0
2012,BTN,0.0
2013,BTN,0.0
2014,BTN,0.0
2015,BTN,0.0
2016,BTN,0.0
2017,BTN,0.0
2018,BTN,0.0
2019,BTN,0.0
2020,BTN,0.0
2010,BWA,0.1023636967568246
2011,BWA,0.1003882010033051
2012,BWA,0.1030368371897948
2013,BWA,0.1019971079861143
2014,BWA,0.0980476684783397
2015,BWA,0.0910568810640484
2016,BWA,0.0919028883286486
2017,BWA,0.0949936287922144
2018,BWA,0.1008752135246685
2019,BWA,0.098952613229189
2020,BWA,0.09710192870232
2010,CAF,0.8950736297459284
2011,CAF,0.9052788668308815
2012,CAF,0.9553555949654684
2013,CAF,0.969856327666888
2014,CAF,0.95396346257709
2015,CAF,0.904766054623272
2016,CAF,0.9015056208968016
2017,CAF,0.920529327035385
2018,CAF,0.9662674751852276
2019,CAF,0.9374670967119744
2020,CAF,0.9103338644482044
2010,CAN,0.0038147260400352
2011,CAN,0.0567261582074377
2012,CAN,0.0791382175294869
2013,CAN,0.1394840831736871
2014,CAN,0.1944650080979
2015,CAN,0.2844953249796564
2016,CAN,0.3293277118671422
2017,CAN,0.3608290042535848
2018,CAN,0.4006054879765762
2019,CAN,0.3962830345593897
