Year,iso_code3,ef_ippu_tonne_cf4_per_tonne_production_metals
2010,ABW,0.0
2011,ABW,0.0
2012,ABW,0.0
2013,ABW,0.0
2014,ABW,0.0
2015,ABW,0.0
2016,ABW,0.0
2017,ABW,0.0
2018,ABW,0.0
2019,ABW,0.0
2020,ABW,0.0
2010,AFG,0.0001379707676868
2011,AFG,0.0001296129099806
2012,AFG,0.0001084075101285
2013,AFG,5.785316239977013e-05
2014,AFG,4.940761477403947e-05
2015,AFG,5.136834887803062e-05
2016,AFG,5.383942087306635e-05
2017,AFG,5.853233840951866e-05
2018,AFG,4.574268639302703e-05
2019,AFG,4.099371656469761e-05
2020,AFG,4.632061554023263e-05
2010,AGO,0.0
2011,AGO,0.0
2012,AGO,0.0
2013,AGO,0.0
2014,AGO,0.0
2015,AGO,0.0
2016,AGO,0.0
2017,AGO,0.0
2018,AGO,0.0
2019,AGO,0.0
2020,AGO,0.0
2010,ALB,0.0
2011,ALB,0.0
2012,ALB,0.0
2013,ALB,0.0
2014,ALB,0.0
2015,ALB,0.0
2016,ALB,0.0
2017,ALB,0.0
2018,ALB,0.0
2019,ALB,0.0
2020,ALB,0.0
2010,AND,2.277615510755302e-07
2011,AND,1.8470585143051741e-07
2012,AND,1.605203732276151e-07
2013,AND,1.301004251801738e-07
2014,AND,1.5759404687217906e-07
2015,AND,1.9428626567443114e-07
2016,AND,1.6233484551548884e-07
2017,AND,1.537528993554993e-07
2018,AND,1.2978083212609813e-07
2019,AND,2.064702665696665e-07
2020,AND,2.2005657646231995e-07
2010,ARE,7.010963143443516e-06
2011,ARE,8.080881286859485e-06
2012,ARE,6.265299475937653e-06
2013,ARE,5.559680510098374e-06
2014,ARE,6.199052969878289e-06
2015,ARE,8.574619713024876e-06
2016,ARE,8.277239647629244e-06
2017,ARE,8.143568048475692e-06
2018,ARE,6.377419616310532e-06
2019,ARE,7.058434301861309e-06
2020,ARE,8.1622522404768e-06
2010,ARG,1.8407840837288568e-06
2011,ARG,1.7487003764452486e-06
2012,ARG,1.263485729766656e-06
2013,ARG,1.1637016546718e-06
2014,ARG,1.1812334665582475e-06
2015,ARG,1.2182104873828918e-06
2016,ARG,1.4348310056573231e-06
2017,ARG,1.1136202885888934e-06
2018,ARG,1.3505535532708144e-06
2019,ARG,1.6265359169951594e-06
2020,ARG,1.8320493244474104e-06
2010,ARM,0.0
2011,ARM,0.0
2012,ARM,0.0
2013,ARM,0.0
2014,ARM,0.0
2015,ARM,0.0
2016,ARM,0.0
2017,ARM,0.0
2018,ARM,0.0
2019,ARM,0.0
2020,ARM,0.0
2010,ASM,0.0
2011,ASM,0.0
2012,ASM,0.0
2013,ASM,0.0
2014,ASM,0.0
2015,ASM,0.0
2016,ASM,0.0
2017,ASM,0.0
2018,ASM,0.0
2019,ASM,0.0
2020,ASM,0.0
2010,ATG,0.0
2011,ATG,0.0
2012,ATG,0.0
2013,ATG,0.0
2014,ATG,0.0
2015,ATG,0.0
2016,ATG,0.0
2017,ATG,0.0
2018,ATG,0.0
2019,ATG,0.0
2020,ATG,0.0
2010,AUS,2.560545329368858e-06
2011,AUS,2.446810962120431e-06
2012,AUS,2.0325309668774528e-06
2013,AUS,1.5447297202226397e-06
2014,AUS,1.488581632864114e-06
2015,AUS,1.7397017792229997e-06
2016,AUS,1.7637694110969747e-06
2017,AUS,1.5748059563639592e-06
2018,AUS,1.567738238109203e-06
2019,AUS,2.4977530979264826e-06
2020,AUS,2.6135479567271104e-06
2010,AUT,0.0
2011,AUT,0.0
2012,AUT,0.0
2013,AUT,0.0
2014,AUT,0.0
2015,AUT,0.0
2016,AUT,0.0
2017,AUT,0.0
2018,AUT,0.0
2019,AUT,0.0
2020,AUT,0.0
2010,AZE,3.4616014391303045e-08
2011,AZE,6.974101599519772e-07
2012,AZE,5.248323570766483e-06
2013,AZE,4.856653066756329e-06
2014,AZE,5.743239534451576e-06
2015,AZE,8.72917399540624e-06
2016,AZE,9.846042471089254e-06
2017,AZE,8.316633975293439e-06
2018,AZE,1.163276923934566e-05
2019,AZE,5.498453250363014e-06
2020,AZE,6.11085854985639e-06
2010,BDI,0.0
2011,BDI,0.0
2012,BDI,0.0
2013,BDI,0.0
2014,BDI,0.0
2015,BDI,0.0
2016,BDI,0.0
2017,BDI,0.0
2018,BDI,0.0
2019,BDI,0.0
2020,BDI,0.0
2010,BEL,0.0
2011,BEL,0.0
2012,BEL,0.0
2013,BEL,0.0
2014,BEL,0.0
2015,BEL,0.0
2016,BEL,0.0
2017,BEL,0.0
2018,BEL,0.0
2019,BEL,0.0
2020,BEL,0.0
2010,BEN,0.0
2011,BEN,0.0
2012,BEN,0.0
2013,BEN,0.0
2014,BEN,0.0
2015,BEN,0.0
2016,BEN,0.0
2017,BEN,0.0
2018,BEN,0.0
2019,BEN,0.0
2020,BEN,0.0
2010,BFA,0.0
2011,BFA,0.0
2012,BFA,0.0
2013,BFA,0.0
2014,BFA,0.0
2015,BFA,0.0
2016,BFA,0.0
2017,BFA,0.0
2018,BFA,0.0
2019,BFA,0.0
2020,BFA,0.0
2010,BGD,0.0
2011,BGD,0.0
2012,BGD,0.0
2013,BGD,0.0
2014,BGD,0.0
2015,BGD,0.0
2016,BGD,0.0
2017,BGD,0.0
2018,BGD,0.0
2019,BGD,0.0
2020,BGD,0.0
2010,BGR,0.0
2011,BGR,0.0
2012,BGR,0.0
2013,BGR,0.0
2014,BGR,0.0
2015,BGR,0.0
2016,BGR,0.0
2017,BGR,0.0
2018,BGR,0.0
2019,BGR,0.0
2020,BGR,0.0
2010,BHR,2.6103275987842816e-05
2011,BHR,3.643797780861326e-05
2012,BHR,3.3718869962874144e-05
2013,BHR,2.7799246644674746e-05
2014,BHR,2.458374584969231e-05
2015,BHR,2.6614607513766377e-05
2016,BHR,2.257571890046656e-05
2017,BHR,1.8547568377696342e-05
2018,BHR,1.5988547408676327e-05
2019,BHR,1.5413536583568942e-05
2020,BHR,1.4965527259277932e-05
2010,BHS,0.0
2011,BHS,0.0
2012,BHS,0.0
2013,BHS,0.0
2014,BHS,0.0
2015,BHS,0.0
2016,BHS,0.0
2017,BHS,0.0
2018,BHS,0.0
2019,BHS,0.0
2020,BHS,0.0
2010,BIH,6.381811590540716e-05
2011,BIH,5.803613925351341e-05
2012,BIH,5.7866074389273005e-05
2013,BIH,3.97250768134563e-05
2014,BIH,4.091899631537133e-05
2015,BIH,3.845523527991703e-05
2016,BIH,3.7315819119200905e-05
2017,BIH,4.08773388494299e-05
2018,BIH,3.966311460481018e-05
2019,BIH,3.908747819389478e-05
2020,BIH,3.7128373968107215e-05
2010,BLR,0.0
2011,BLR,0.0
2012,BLR,0.0
2013,BLR,0.0
2014,BLR,0.0
2015,BLR,0.0
2016,BLR,0.0
2017,BLR,0.0
2018,BLR,0.0
2019,BLR,0.0
2020,BLR,0.0
2010,BLZ,0.0
2011,BLZ,0.0
2012,BLZ,0.0
2013,BLZ,0.0
2014,BLZ,0.0
2015,BLZ,0.0
2016,BLZ,0.0
2017,BLZ,0.0
2018,BLZ,0.0
2019,BLZ,0.0
2020,BLZ,0.0
2010,BMU,0.0
2011,BMU,0.0
2012,BMU,0.0
2013,BMU,0.0
2014,BMU,0.0
2015,BMU,0.0
2016,BMU,0.0
2017,BMU,0.0
2018,BMU,0.0
2019,BMU,0.0
2020,BMU,0.0
2010,BOL,0.0
2011,BOL,0.0
2012,BOL,0.0
2013,BOL,0.0
2014,BOL,0.0
2015,BOL,0.0
2016,BOL,0.0
2017,BOL,0.0
2018,BOL,0.0
2019,BOL,0.0
2020,BOL,0.0
2010,BRA,2.25891613267995e-06
2011,BRA,1.8426451899868589e-06
2012,BRA,1.8589996635220207e-06
2013,BRA,2.018124899857394e-06
2014,BRA,1.2899715696175633e-06
2015,BRA,1.3620737985216896e-06
2016,BRA,1.5565339717102178e-06
2017,BRA,1.3049172023596042e-06
2018,BRA,1.2026252116816e-06
2019,BRA,1.1660202187111744e-06
2020,BRA,1.5879905974011912e-06
2010,BRB,0.0
2011,BRB,0.0
2012,BRB,0.0
2013,BRB,0.0
2014,BRB,0.0
2015,BRB,0.0
2016,BRB,0.0
2017,BRB,0.0
2018,BRB,0.0
2019,BRB,0.0
2020,BRB,0.0
2010,BRN,0.0
2011,BRN,0.0
2012,BRN,0.0
2013,BRN,0.0
2014,BRN,0.0
2015,BRN,0.0
2016,BRN,0.0
2017,BRN,0.0
2018,BRN,0.0
2019,BRN,0.0
2020,BRN,0.0
2010,BTN,0.0
2011,BTN,0.0
2012,BTN,0.0
2013,BTN,0.0
2014,BTN,0.0
2015,BTN,0.0
2016,BTN,0.0
2017,BTN,0.0
2018,BTN,0.0
2019,BTN,0.0
2020,BTN,0.0
2010,BWA,0.0
2011,BWA,0.0
2012,BWA,0.0
2013,BWA,0.0
2014,BWA,0.0
2015,BWA,0.0
2016,BWA,0.0
2017,BWA,0.0
2018,BWA,0.0
2019,BWA,0.0
2020,BWA,0.0
2010,CAF,0.0
2011,CAF,0.0
2012,CAF,0.0
2013,CAF,0.0
2014,CAF,0.0
2015,CAF,0.0
2016,CAF,0.0
2017,CAF,0.0
2018,CAF,0.0
2019,CAF,0.0
2020,CAF,0.0
2010,CAN,1.1940962697947528e-05
2011,CAN,1.0672018825503856e-05
2012,CAN,9.43520944589906e-06
2013,CAN,7.99223154162755e-06
2014,CAN,8.560684719434434e-06
2015,CAN,9.121901214730204e-06
2016,CAN,1.1267853617541494e-05
2017,CAN,1.0223782390737231e-05
2018,CAN,8.90871397149134e-06
2019,CAN,7.513228623353932e-06
2020,CAN,7.775611759591585e-06
2010,CHE,0.0
2011,CHE,0.0
2012,CHE,0.0
2013,CHE,0.0
2014,CHE,0.0
2015,CHE,0.0
2016,CHE,0.0
2017,CHE,0.0
2018,CHE,0.0
2019,CHE,0.0
2020,CHE,0.0
2010,CHL,0.0
2011,CHL,0.0
2012,CHL,0.0
