Year,iso_code3,ef_ippu_tonne_sf6_per_tonne_production_electronics
2010,ABW,0.0
2011,ABW,0.0
2012,ABW,0.0
2013,ABW,0.0
2014,ABW,0.0
2015,ABW,0.0
2016,ABW,0.0
2017,ABW,0.0
2018,ABW,0.0
2019,ABW,0.0
2020,ABW,0.0
2010,AFG,0.0
2011,AFG,0.0
2012,AFG,0.0
2013,AFG,0.0
2014,AFG,0.0
2015,AFG,0.0
2016,AFG,0.0
2017,AFG,0.0
2018,AFG,0.0
2019,AFG,0.0
2020,AFG,0.0
2010,AGO,0.0
2011,AGO,0.0
2012,AGO,0.0
2013,AGO,0.0
2014,AGO,0.0
2015,AGO,0.0
2016,AGO,0.0
2017,AGO,0.0
2018,AGO,0.0
2019,AGO,0.0
2020,AGO,0.0
2010,ALB,0.0
2011,ALB,0.0
2012,ALB,0.0
2013,ALB,0.0
2014,ALB,0.0
2015,ALB,0.0
2016,ALB,0.0
2017,ALB,0.0
2018,ALB,0.0
2019,ALB,0.0
2020,ALB,0.0
2010,AND,7.642041015196352e-07
2011,AND,6.096596191024799e-07
2012,AND,6.555386521497609e-07
2013,AND,5.6289884718384e-07
2014,AND,4.820644041194954e-07
2015,AND,5.980704681113942e-07
2016,AND,5.525054375431855e-07
2017,AND,5.256431019419872e-07
2018,AND,4.0425397345568106e-07
2019,AND,3.4186426137972965e-07
2020,AND,3.514750102311453e-07
2010,ARE,0.0
2011,ARE,0.0
2012,ARE,0.0
2013,ARE,0.0
2014,ARE,0.0
2015,ARE,0.0
2016,ARE,0.0
2017,ARE,0.0
2018,ARE,0.0
2019,ARE,0.0
2020,ARE,0.0
2010,ARG,1.6010595594476555e-08
2011,ARG,1.4679941830952572e-08
2012,ARG,1.3190291107868077e-08
2013,ARG,1.2775041214760474e-08
2014,ARG,1.9108147659309252e-08
2015,ARG,1.4885780013340944e-08
2016,ARG,1.8994066878635746e-08
2017,ARG,1.5795701504869494e-08
2018,ARG,2.2004506925590163e-08
2019,ARG,2.2845178714731924e-08
2020,ARG,2.7073951465370432e-08
2010,ARM,0.0
2011,ARM,0.0
2012,ARM,0.0
2013,ARM,0.0
2014,ARM,0.0
2015,ARM,0.0
2016,ARM,0.0
2017,ARM,0.0
2018,ARM,0.0
2019,ARM,0.0
2020,ARM,0.0
2010,ASM,0.0
2011,ASM,0.0
2012,ASM,0.0
2013,ASM,0.0
2014,ASM,0.0
2015,ASM,0.0
2016,ASM,0.0
2017,ASM,0.0
2018,ASM,0.0
2019,ASM,0.0
2020,ASM,0.0
2010,ATG,0.0
2011,ATG,0.0
2012,ATG,0.0
2013,ATG,0.0
2014,ATG,0.0
2015,ATG,0.0
2016,ATG,0.0
2017,ATG,0.0
2018,ATG,0.0
2019,ATG,0.0
2020,ATG,0.0
2010,AUS,2.416568732764839e-07
2011,AUS,2.0533596817715294e-07
2012,AUS,2.0478194507260565e-07
2013,AUS,2.1973558420868166e-07
2014,AUS,2.2861407256631517e-07
2015,AUS,3.556060901908428e-07
2016,AUS,3.491610294667845e-07
2017,AUS,3.4606595264883895e-07
2018,AUS,5.086977312758842e-07
2019,AUS,5.154144210254365e-07
2020,AUS,5.187596827502765e-07
2010,AUT,8.17063187954629e-07
2011,AUT,4.77026555347268e-07
2012,AUT,5.097694331106893e-07
2013,AUT,3.7174905012092594e-07
2014,AUT,3.866494775533217e-07
2015,AUT,5.353901429265603e-07
2016,AUT,4.389402201815575e-07
2017,AUT,3.805735724771027e-07
2018,AUT,3.485379919275182e-07
2019,AUT,3.621019357987102e-07
2020,AUT,3.746018711209202e-07
2010,AZE,0.0
2011,AZE,0.0
2012,AZE,0.0
2013,AZE,0.0
2014,AZE,0.0
2015,AZE,0.0
2016,AZE,0.0
2017,AZE,0.0
2018,AZE,0.0
2019,AZE,0.0
2020,AZE,0.0
2010,BDI,0.0
2011,BDI,0.0
2012,BDI,0.0
2013,BDI,0.0
2014,BDI,0.0
2015,BDI,0.0
2016,BDI,0.0
2017,BDI,0.0
2018,BDI,0.0
2019,BDI,0.0
2020,BDI,0.0
2010,BEL,5.7399884675009715e-08
2011,BEL,8.01685727837061e-08
2012,BEL,5.4814339730192894e-08
2013,BEL,7.124827509632539e-08
2014,BEL,7.644702364302289e-08
2015,BEL,8.56710854667353e-08
2016,BEL,2.05001189542995e-07
2017,BEL,2.8700244604324134e-07
2018,BEL,2.2688165509439385e-07
2019,BEL,1.894485837357328e-07
2020,BEL,1.8638802776397886e-07
2010,BEN,0.0
2011,BEN,0.0
2012,BEN,0.0
2013,BEN,0.0
2014,BEN,0.0
2015,BEN,0.0
2016,BEN,0.0
2017,BEN,0.0
2018,BEN,0.0
2019,BEN,0.0
2020,BEN,0.0
2010,BFA,0.0
2011,BFA,0.0
2012,BFA,0.0
2013,BFA,0.0
2014,BFA,0.0
2015,BFA,0.0
2016,BFA,0.0
2017,BFA,0.0
2018,BFA,0.0
2019,BFA,0.0
2020,BFA,0.0
2010,BGD,0.0
2011,BGD,0.0
2012,BGD,0.0
2013,BGD,0.0
2014,BGD,0.0
2015,BGD,0.0
2016,BGD,0.0
2017,BGD,0.0
2018,BGD,0.0
2019,BGD,0.0
2020,BGD,0.0
2010,BGR,1.06347458936318e-06
2011,BGR,5.484383147429463e-07
2012,BGR,3.457784516338416e-07
2013,BGR,6.682000366896248e-07
2014,BGR,1.6558578939228336e-07
2015,BGR,2.653340896058046e-07
2016,BGR,2.67208413793096e-07
2017,BGR,1.1711122121727409e-07
2018,BGR,1.2871550136722797e-07
2019,BGR,1.1888157680441977e-07
2020,BGR,1.159575217645833e-07
2010,BHR,0.0
2011,BHR,0.0
2012,BHR,0.0
2013,BHR,0.0
2014,BHR,0.0
2015,BHR,0.0
2016,BHR,0.0
2017,BHR,0.0
2018,BHR,0.0
2019,BHR,0.0
2020,BHR,0.0
2010,BHS,0.0
2011,BHS,0.0
2012,BHS,0.0
2013,BHS,0.0
2014,BHS,0.0
2015,BHS,0.0
2016,BHS,0.0
2017,BHS,0.0
2018,BHS,0.0
2019,BHS,0.0
2020,BHS,0.0
2010,BIH,0.0
2011,BIH,0.0
2012,BIH,0.0
2013,BIH,0.0
2014,BIH,0.0
2015,BIH,0.0
2016,BIH,0.0
2017,BIH,0.0
2018,BIH,0.0
2019,BIH,0.0
2020,BIH,0.0
2010,BLR,0.0
2011,BLR,0.0
2012,BLR,0.0
2013,BLR,0.0
2014,BLR,0.0
2015,BLR,0.0
2016,BLR,0.0
2017,BLR,0.0
2018,BLR,0.0
2019,BLR,0.0
2020,BLR,0.0
2010,BLZ,0.0
2011,BLZ,0.0
2012,BLZ,0.0
2013,BLZ,0.0
2014,BLZ,0.0
2015,BLZ,0.0
2016,BLZ,0.0
2017,BLZ,0.0
2018,BLZ,0.0
2019,BLZ,0.0
2020,BLZ,0.0
2010,BMU,0.0
2011,BMU,0.0
2012,BMU,0.0
2013,BMU,0.0
2014,BMU,0.0
2015,BMU,0.0
2016,BMU,0.0
2017,BMU,0.0
2018,BMU,0.0
2019,BMU,0.0
2020,BMU,0.0
2010,BOL,0.0
2011,BOL,0.0
2012,BOL,0.0
2013,BOL,0.0
2014,BOL,0.0
2015,BOL,0.0
2016,BOL,0.0
2017,BOL,0.0
2018,BOL,0.0
2019,BOL,0.0
2020,BOL,0.0
2010,BRA,1.0334318571888428e-07
2011,BRA,9.451882352722341e-08
2012,BRA,1.0203535514344129e-07
2013,BRA,9.862977205320755e-08
2014,BRA,1.068303500693029e-07
2015,BRA,1.4818982765511809e-07
2016,BRA,1.4300902303367068e-07
2017,BRA,1.173720764260969e-07
2018,BRA,1.405126556750059e-07
2019,BRA,1.4231287334879073e-07
2020,BRA,1.6810252780568904e-07
2010,BRB,0.0
2011,BRB,0.0
2012,BRB,0.0
2013,BRB,0.0
2014,BRB,0.0
2015,BRB,0.0
2016,BRB,0.0
2017,BRB,0.0
2018,BRB,0.0
2019,BRB,0.0
2020,BRB,0.0
2010,BRN,0.0
2011,BRN,0.0
2012,BRN,0.0
2013,BRN,0.0
2014,BRN,0.0
2015,BRN,0.0
2016,BRN,0.0
2017,BRN,0.0
2018,BRN,0.0
2019,BRN,0.0
2020,BRN,0.0
2010,BTN,0.0
2011,BTN,0.0
2012,BTN,0.0
2013,BTN,0.0
2014,BTN,0.0
2015,BTN,0.0
2016,BTN,0.0
2017,BTN,0.0
2018,BTN,0.0
2019,BTN,0.0
2020,BTN,0.0
2010,BWA,0.0
2011,BWA,0.0
2012,BWA,0.0
2013,BWA,0.0
2014,BWA,0.0
2015,BWA,0.0
2016,BWA,0.0
2017,BWA,0.0
2018,BWA,0.0
2019,BWA,0.0
2020,BWA,0.0
2010,CAF,0.0
2011,CAF,0.0
2012,CAF,0.0
2013,CAF,0.0
2014,CAF,0.0
2015,CAF,0.0
2016,CAF,0.0
2017,CAF,0.0
2018,CAF,0.0
2019,CAF,0.0
2020,CAF,0.0
2010,CAN,1.0763382355778929e-05
2011,CAN,1.0375627478168056e-05
2012,CAN,1.0334772959617598e-05
2013,CAN,1.039849457721821e-05
2014,CAN,1.0658231888957282e-05
2015,CAN,1.1756286162420138e-05
2016,CAN,1.2042955841281865e-05
2017,CAN,1.2029351765349028e-05
2018,CAN,1.1510229276639844e-05
2019,CAN,1.1153039191383669e-05
2020,CAN,1.238219112282779e-05
2010,CHE,1.1625264592946523e-06
2011,CHE,1.1128331729305542e-06
2012,CHE,1.266435524494046e-06
2013,CHE,1.4682905817575003e-06
2014,CHE,1.5249694790143845e-06
2015,CHE,1.656290088545311e-06
2016,CHE,1.32692494779172e-06
2017,CHE,1.4881028496259811e-06
2018,CHE,1.2189750338265958e-06
2019,CHE,1.204027701780024e-06
2020,CHE,1.2789447345218926e-06
2010,CHL,3.787314357239708e-07
2011,CHL,3.37131585469703e-07
2012,CHL,3.007523423232815e-07
2013,CHL,2.835554881922555e-07
2014,CHL,3.0590789106267053e-07
