"year","location_code","prodinit_ippu_glass_tonne"
2010,"ABW",520.617706743271
2011,"ABW",512.264626552565
2012,"ABW",541.763235930804
2013,"ABW",404.778476870099
2014,"ABW",464.19808821957
2015,"ABW",689.02940701807
2016,"ABW",595.590658262581
2017,"ABW",404.024604991981
2018,"ABW",515.005703067109
2019,"ABW",649.776776636866
2020,"ABW",369.786800240653
2010,"AGO",19196.8040384763
2011,"AGO",19452.7918300421
2012,"AGO",25681.7395134702
2013,"AGO",23801.0991697144
2014,"AGO",25415.3012668708
2015,"AGO",18307.8795994285
2016,"AGO",11988.7328845341
2017,"AGO",16221.7737373277
2018,"AGO",14774.5821942666
2019,"AGO",19709.3508424265
2020,"AGO",17276.4213782695
2010,"ALB",4721.08197370499
2011,"ALB",5388.20530866026
2012,"ALB",5578.66988722276
2013,"ALB",5250.43936707769
2014,"ALB",4665.06779027334
2015,"ALB",4881.14697138699
2016,"ALB",5354.9356426485
2017,"ALB",5993.79860074508
2018,"ALB",6713.06033989597
2019,"ALB",6950.30027324336
2020,"ALB",7973.93464989583
2010,"ARE",153721.597319824
2011,"ARE",155792.166338433
2012,"ARE",132605.927376198
2013,"ARE",125352.205639302
2014,"ARE",120000.059519034
2015,"ARE",103657.907220096
2016,"ARE",91498.833867772
2017,"ARE",93262.8533803259
2018,"ARE",117881.016542525
2019,"ARE",113812.499999523
2020,"ARE",81945.918890685
2010,"ARG",146599.384408263
2011,"ARG",149812.394294911
2012,"ARG",140645.605436565
2013,"ARG",153109.138564212
2014,"ARG",140351.940183066
2015,"ARG",171698.326046167
2016,"ARG",130041.637606173
2017,"ARG",146679.360311931
2018,"ARG",117114.591473929
2019,"ARG",108809.331443249
2020,"ARG",92851.4369641107
2010,"ARM",6418.93160922672
2011,"ARM",5938.1075593917
2012,"ARM",5476.45849693522
2013,"ARM",6445.17848264877
2014,"ARM",5950.48913945079
2015,"ARM",4190.01695176601
2016,"ARM",4440.88849086507
2017,"ARM",5802.98936733456
2018,"ARM",5639.78165929442
2019,"ARM",5905.64275427443
2020,"ARM",8568.57911560513
2010,"ASM",13.8762360816784
2011,"ASM",27.5225819220899
2012,"ASM",46.3570473520534
2013,"ASM",5.75273084221615
2014,"ASM",9.94809116512674
2015,"ASM",27.3621250842058
2016,"ASM",14.1612444027784
2017,"ASM",9.1149100564073
2018,"ASM",8.82123879077601
2019,"ASM",6.70988243326918
2020,"ASM",1.77071052712935
2010,"ATG",381.3497191488
2011,"ATG",251.629667475489
2012,"ATG",2167.79316527216
2013,"ATG",117.170951398965
2014,"ATG",179.230441143692
2015,"ATG",208.776621080829
2016,"ATG",225.706564432412
2017,"ATG",208.170772800331
2018,"ATG",281.007882289886
2019,"ATG",285.95177356694
2020,"ATG",133.470499760334
2010,"AUS",338087.084457303
2011,"AUS",287731.576780818
2012,"AUS",280642.136590208
2013,"AUS",272268.061001881
2014,"AUS",258921.645455816
2015,"AUS",265244.797170727
2016,"AUS",247936.751814922
2017,"AUS",276846.408823232
2018,"AUS",279759.519785172
2019,"AUS",259734.880981835
2020,"AUS",252839.989415907
2010,"AUT",247729.419390565
2011,"AUT",250554.269311864
2012,"AUT",227153.465132249
2013,"AUT",242215.077997529
2014,"AUT",233808.574131937
2015,"AUT",206293.600276746
2016,"AUT",210706.044883779
2017,"AUT",218014.106147639
2018,"AUT",233358.564376201
2019,"AUT",227288.260921629
2020,"AUT",204758.270439597
2010,"AZE",30884.3107325291
2011,"AZE",38153.1294401461
2012,"AZE",31121.1572174096
2013,"AZE",31251.5633481624
2014,"AZE",28469.6249788971
2015,"AZE",16706.6460701932
2016,"AZE",10377.4349330753
2017,"AZE",12383.0255080851
2018,"AZE",12778.7445556499
2019,"AZE",14683.9912169142
2020,"AZE",10663.9679693355
2010,"BDI",583.877653760078
2011,"BDI",4227.33834272874
2012,"BDI",3569.9622407549
2013,"BDI",1072.49647352203
2014,"BDI",3509.78250049558
2015,"BDI",5484.99257121199
2016,"BDI",4681.67993137012
2017,"BDI",4699.85623087336
2018,"BDI",1320.48790154219
2019,"BDI",1958.15857775846
2020,"BDI",3539.87508553434
2010,"BEL",421705.084078686
2011,"BEL",421430.150958008
2012,"BEL",344561.497754127
2013,"BEL",367065.038136044
2014,"BEL",341177.619401657
2015,"BEL",300183.294192528
2016,"BEL",296864.639350479
2017,"BEL",306561.391786146
2018,"BEL",332153.738876868
2019,"BEL",320390.865610754
2020,"BEL",288925.761148233
2010,"BEN",2729.28157902201
2011,"BEN",3574.35316039677
2012,"BEN",4900.66633158325
2013,"BEN",4029.32398519397
2014,"BEN",3588.10739411952
2015,"BEN",3600.3102950073
2016,"BEN",3587.98344863286
2017,"BEN",2370.28127768005
2018,"BEN",2356.06383018491
2019,"BEN",2645.41307563163
2020,"BEN",4030.85362371326
2010,"BFA",970.315556106558
2011,"BFA",1227.22514795427
2012,"BFA",1151.72573485431
2013,"BFA",1266.2021418381
2014,"BFA",2185.21885503726
2015,"BFA",1265.22824935066
2016,"BFA",1053.02968748142
2017,"BFA",1314.27482885363
2018,"BFA",1281.70787867516
2019,"BFA",1720.53682118066
2020,"BFA",1343.5464901332
2010,"BGD",25366.8324114114
2011,"BGD",22008.8015556774
2012,"BGD",22349.002835013
2013,"BGD",28141.304627325
2014,"BGD",35678.8414038652
2015,"BGD",38598.0641233874
2016,"BGD",46803.630766396
2017,"BGD",51869.3842902555
