Year,prodinit_ippu_rubber_and_leather_tonne,Iso_code3,Region
2021,188595.4944006925,LA,louisiana
2022,188595.4944006925,LA,louisiana
2023,188595.4944006925,LA,louisiana
2024,188595.4944006925,LA,louisiana
2025,188595.4944006925,LA,louisiana
2026,188595.4944006925,LA,louisiana
2027,188595.4944006925,LA,louisiana
2028,188595.4944006925,LA,louisiana
2029,188595.4944006925,LA,louisiana
2030,188595.4944006925,LA,louisiana
2031,188595.4944006925,LA,louisiana
2032,188595.4944006925,LA,louisiana
2033,188595.4944006925,LA,louisiana
2034,188595.4944006925,LA,louisiana
2035,188595.4944006925,LA,louisiana
2036,188595.4944006925,LA,louisiana
2037,188595.4944006925,LA,louisiana
2038,188595.4944006925,LA,louisiana
2039,188595.4944006925,LA,louisiana
2040,188595.4944006925,LA,louisiana
2041,188595.4944006925,LA,louisiana
2042,188595.4944006925,LA,louisiana
2043,188595.4944006925,LA,louisiana
2044,188595.4944006925,LA,louisiana
2045,188595.4944006925,LA,louisiana
2046,188595.4944006925,LA,louisiana
2047,188595.4944006925,LA,louisiana
2048,188595.4944006925,LA,louisiana
2049,188595.4944006925,LA,louisiana
2050,188595.4944006925,LA,louisiana
