"year","location_code","prodinit_ippu_rubber_and_leather_tonne"
2010,"ABW",257.182107593677
2011,"ABW",178.958699951128
2012,"ABW",140.735184696047
2013,"ABW",165.078383451564
2014,"ABW",195.972510861744
2015,"ABW",267.113997849575
2016,"ABW",300.165639260946
2017,"ABW",250.478424405532
2018,"ABW",248.312512673936
2019,"ABW",298.190914394863
2020,"ABW",186.378207150829
2010,"AGO",2848.62839669296
2011,"AGO",4268.78393700139
2012,"AGO",6546.23342710897
2013,"AGO",6527.57911386594
2014,"AGO",9308.07542282227
2015,"AGO",5219.13521437039
2016,"AGO",5001.82663038308
2017,"AGO",6627.63982080026
2018,"AGO",5476.29538960717
2019,"AGO",7851.59055213818
2020,"AGO",6995.0272340793
2010,"ALB",2524.30203935108
2011,"ALB",2365.75217938798
2012,"ALB",2588.12700342675
2013,"ALB",3179.87901793173
2014,"ALB",3509.9042668546
2015,"ALB",4001.19044314381
2016,"ALB",4214.16566953557
2017,"ALB",4052.79525772661
2018,"ALB",4927.49113022798
2019,"ALB",5042.8933062295
2020,"ALB",5276.66332944836
2010,"ARE",42614.1501708751
2011,"ARE",44037.9484471313
2012,"ARE",52757.6336411303
2013,"ARE",50866.6004433888
2014,"ARE",51579.7022050578
2015,"ARE",46974.7553529725
2016,"ARE",41849.6529326459
2017,"ARE",42407.3718361343
2018,"ARE",46627.916576049
2019,"ARE",52057.4058462539
2020,"ARE",43471.076451919
2010,"ARG",129956.569431493
2011,"ARG",117498.978807961
2012,"ARG",126199.517524533
2013,"ARG",144211.196731447
2014,"ARG",141676.69632861
2015,"ARG",171537.962831212
2016,"ARG",134594.158876614
2017,"ARG",151258.139661231
2018,"ARG",107359.398293565
2019,"ARG",95958.6404968747
2020,"ARG",80388.3354160015
2010,"ARM",991.769024431691
2011,"ARM",661.017689612857
2012,"ARM",720.119408905917
2013,"ARM",775.599136033991
2014,"ARM",866.373452347421
2015,"ARM",788.773812543209
2016,"ARM",955.972217657599
2017,"ARM",1107.93538156245
2018,"ARM",1048.13238956258
2019,"ARM",994.249537352747
2020,"ARM",1279.01258503458
2010,"ASM",10.922493141166
2011,"ASM",7.49618815999402
2012,"ASM",6.25361679687766
2013,"ASM",3.63911769678565
2014,"ASM",3.12188823905622
2015,"ASM",3.11544069816255
2016,"ASM",3.15232946345892
2017,"ASM",2.75841752351619
2018,"ASM",4.00624589999423
2019,"ASM",8.81291579576652
2020,"ASM",15.2846258782784
2010,"ATG",437.250909673636
2011,"ATG",51.8411789500371
2012,"ATG",87.2770129526292
2013,"ATG",39.9882936420915
2014,"ATG",43.8896354133102
2015,"ATG",65.9170673348358
2016,"ATG",72.583659891004
2017,"ATG",67.985271842158
2018,"ATG",80.960395579738
2019,"ATG",111.181168200807
2020,"ATG",70.6417059509425
2010,"AUS",174267.937912067
2011,"AUS",185378.007665251
2012,"AUS",206045.930841912
2013,"AUS",205826.681495211
2014,"AUS",193984.137421447
2015,"AUS",192863.296407652
2016,"AUS",182582.248244374
2017,"AUS",190187.14409931
2018,"AUS",195570.206677559
2019,"AUS",189123.704039589
2020,"AUS",199368.11142741
2010,"AUT",72326.6080974825
2011,"AUT",66966.8959798796
2012,"AUT",63273.047358021
2013,"AUT",69378.6978116702
2014,"AUT",72222.0084943882
2015,"AUT",71355.1374559631
2016,"AUT",71081.0569622223
2017,"AUT",69031.6969885316
2018,"AUT",71698.8393430648
2019,"AUT",69376.8338410392
2020,"AUT",70314.9506214531
2010,"AZE",4281.2224627087
2011,"AZE",3825.25927524585
2012,"AZE",5088.40825068422
2013,"AZE",5404.28865766271
2014,"AZE",4710.75484051451
2015,"AZE",2967.00818176577
2016,"AZE",2163.13027614595
2017,"AZE",2391.28088354408
2018,"AZE",2569.11062732306
2019,"AZE",3251.74892432415
2020,"AZE",3074.28010432568
2010,"BDI",435.482632651203
2011,"BDI",605.019797636545
2012,"BDI",750.624039697101
2013,"BDI",410.262392448776
2014,"BDI",507.262143289048
2015,"BDI",1240.5991670863
2016,"BDI",588.403242080072
2017,"BDI",671.836013949782
2018,"BDI",766.46921449736
2019,"BDI",608.115751522766
2020,"BDI",549.394267708403
2010,"BEL",122080.179118115
2011,"BEL",116359.534862817
2012,"BEL",110825.063785317
2013,"BEL",121048.495577853
2014,"BEL",119873.335197924
2015,"BEL",102851.558110918
2016,"BEL",100547.224226588
2017,"BEL",96342.4832061819
2018,"BEL",104186.509217267
2019,"BEL",106372.949567237
2020,"BEL",104501.077405319
2010,"BEN",1778.98130400191
2011,"BEN",1723.19506500163
2012,"BEN",2119.0270195546
2013,"BEN",2081.60101952333
2014,"BEN",2434.93162150469
2015,"BEN",3058.27784786887
2016,"BEN",1818.04117367951
2017,"BEN",1554.39963164538
2018,"BEN",1544.13046463897
2019,"BEN",1607.0378506557
2020,"BEN",1875.04418252583
2010,"BFA",910.123356870186
2011,"BFA",859.193843361451
2012,"BFA",837.123197931488
2013,"BFA",815.600448211625
2014,"BFA",970.533497976544
2015,"BFA",724.549453404633
2016,"BFA",817.369213552504
2017,"BFA",980.861688592296
2018,"BFA",1011.77879097494
2019,"BFA",1058.75270512609
2020,"BFA",898.588619600176
2010,"BGD",24773.4044178635
2011,"BGD",20785.5015597082
2012,"BGD",26137.3025799772
2013,"BGD",34684.6063869532
2014,"BGD",37787.3780712628
2015,"BGD",53887.6945173852
2016,"BGD",54698.4751268454
2017,"BGD",51576.3497605136
2018,"BGD",51715.0368416822
2019,"BGD",58106.5690937182
2020,"BGD",57641.1452549791
2010,"BGR",9441.74991228089
2011,"BGR",9208.43419548201
2012,"BGR",9066.7613012563
2013,"BGR",10771.3757276123
2014,"BGR",12029.8958017511
2015,"BGR",12539.2914129381
2016,"BGR",14267.4228912784
2017,"BGR",14081.7565349964
2018,"BGR",14952.8005566167
2019,"BGR",15270.3682225024
2020,"BGR",17026.4613392258
2010,"BHR",1296.74978721118
2011,"BHR",951.004438781539
2012,"BHR",1549.86932124775
2013,"BHR",1288.53135565093
2014,"BHR",1474.82241165242
2015,"BHR",1715.99155794892
2016,"BHR",1624.92138911672
