,Unnamed: 0,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_tonne_production_recycled_paper
0,0,LA,louisiana,2010,0.0283654559283817
1,1,LA,louisiana,2011,0.0300400650402004
2,2,LA,louisiana,2012,0.0270350610203539
3,3,LA,louisiana,2013,0.0269459012852062
4,4,LA,louisiana,2014,0.0251233140544552
5,5,LA,louisiana,2015,0.0214381223069047
6,6,LA,louisiana,2016,0.0195724205981728
7,7,LA,louisiana,2017,0.0199205429431882
8,8,LA,louisiana,2018,0.0198200911202835
9,9,LA,louisiana,2019,0.0219678602540772
10,10,LA,louisiana,2020,0.0209553125505033
