,Nation,iso_code3,Year,consumpinit_inen_energy_tj_per_tonne_production_recycled_wood
0,Bermuda,BMU,2017,297.3737915608697
1,Bermuda,BMU,2018,348.14142018014127
2,Bermuda,BMU,2019,379.7537175376212
3,Bermuda,BMU,2020,325.1582839781619
4,Bermuda,BMU,2021,325.15839383892074
5,Bermuda,BMU,2022,330.8663276734527
6,Bermuda,BMU,2023,336.67446039344
7,Bermuda,BMU,2024,342.5845509219798
8,Bermuda,BMU,2025,348.59838905886204
9,Bermuda,BMU,2026,354.7177960225897
10,Bermuda,BMU,2027,360.94462500191617
11,Bermuda,BMU,2028,367.2807617170655
12,Bermuda,BMU,2029,373.72812499077895
13,Bermuda,BMU,2030,380.2886673294395
14,Bermuda,BMU,2031,386.96437551434036
15,Bermuda,BMU,2032,393.75727120335665
16,Bermuda,BMU,2033,400.6694115432089
17,Bermuda,BMU,2034,407.70288979240496
18,Bermuda,BMU,2035,414.85983595518655
19,Bermuda,BMU,2036,422.1424174265727
20,Bermuda,BMU,2037,429.5528396487175
21,Bermuda,BMU,2038,437.09334677880224
22,Bermuda,BMU,2039,444.7662223686725
23,Bermuda,BMU,2040,452.5737900563545
24,Bermuda,BMU,2041,460.5184142697608
25,Bermuda,BMU,2042,468.60250094272413
26,Bermuda,BMU,2043,476.82849824360386
27,Bermuda,BMU,2044,485.1988973166847
28,Bermuda,BMU,2045,493.71623303659095
29,Bermuda,BMU,2046,502.3830847759409
30,Bermuda,BMU,2047,511.2020771864825
31,Bermuda,BMU,2048,520.1758809939312
32,Bermuda,BMU,2049,529.3072138067746
33,Bermuda,BMU,2050,538.5988409392615
34,Poland,POL,2017,1.499011483912105
35,Poland,POL,2018,1.4208548641830803
36,Poland,POL,2019,1.5006876706333085
37,Poland,POL,2020,1.5268944531075868
38,Poland,POL,2021,1.5268944378190976
39,Poland,POL,2022,1.5175469058189681
40,Poland,POL,2023,1.5082565987011405
41,Poland,POL,2024,1.4990231661392235
42,Poland,POL,2025,1.4898462599515
43,Poland,POL,2026,1.480725534087791
44,Poland,POL,2027,1.4716606446164096
45,Poland,POL,2028,1.462651249711198
46,Poland,POL,2029,1.4536970096386261
47,Poland,POL,2030,1.4447975867449911
48,Poland,POL,2031,1.4359526454436788
49,Poland,POL,2032,1.4271618522025122
50,Poland,POL,2033,1.41842487553117
51,Poland,POL,2034,1.4097413859686907
52,Poland,POL,2035,1.4011110560710498
53,Poland,POL,2036,1.3925335603988105
54,Poland,POL,2037,1.384008575504847
55,Poland,POL,2038,1.3755357799221595
