"Year","iso_code3","Region","area_gnrl_country_ha"
2015,"LA","louisiana",13565900
2016,"LA","louisiana",13565900
2017,"LA","louisiana",13565900
2018,"LA","louisiana",13565900
2019,"LA","louisiana",13565900
2020,"LA","louisiana",13565900
2021,"LA","louisiana",13565900
2022,"LA","louisiana",13565900
2023,"LA","louisiana",13565900
2024,"LA","louisiana",13565900
2025,"LA","louisiana",13565900
2026,"LA","louisiana",13565900
2027,"LA","louisiana",13565900
2028,"LA","louisiana",13565900
2029,"LA","louisiana",13565900
2030,"LA","louisiana",13565900
2031,"LA","louisiana",13565900
2032,"LA","louisiana",13565900
2033,"LA","louisiana",13565900
2034,"LA","louisiana",13565900
2035,"LA","louisiana",13565900
2036,"LA","louisiana",13565900
2037,"LA","louisiana",13565900
2038,"LA","louisiana",13565900
2039,"LA","louisiana",13565900
2040,"LA","louisiana",13565900
2041,"LA","louisiana",13565900
2042,"LA","louisiana",13565900
2043,"LA","louisiana",13565900
2044,"LA","louisiana",13565900
2045,"LA","louisiana",13565900
2046,"LA","louisiana",13565900
2047,"LA","louisiana",13565900
2048,"LA","louisiana",13565900
2049,"LA","louisiana",13565900
2050,"LA","louisiana",13565900
