"Year","iso_code3","Region","gdp_mmm_usd"
1997,"LA","louisiana",202.3865
1998,"LA","louisiana",209.3566
1999,"LA","louisiana",213.4753
2000,"LA","louisiana",206.5561
2001,"LA","louisiana",210.5347
2002,"LA","louisiana",214.8561
2003,"LA","louisiana",223.576
2004,"LA","louisiana",234.6208
2005,"LA","louisiana",249.5609
2006,"LA","louisiana",247.1397
2007,"LA","louisiana",234.2164
2008,"LA","louisiana",237.0616
2009,"LA","louisiana",241.8688
2010,"LA","louisiana",253.4669
2011,"LA","louisiana",241.2359
2012,"LA","louisiana",242.4168
2013,"LA","louisiana",236.4823
2014,"LA","louisiana",243.0429
