Unit: 2012 USD,GDP
2014,2.33676E+11
2015,2.32458E+11
2016,2.28253E+11
2017,2.31373E+11
2018,2.37372E+11
2019,2.40475E+11
2020,2.44347E+11
2021,2.47796E+11
2022,2.51416E+11
2023,2.55324E+11
2024,2.59509E+11
2025,2.63914E+11
2026,2.68496E+11
2027,2.73227E+11
2028,2.78083E+11
2029,2.83049E+11
2030,2.88114E+11
2031,2.93275E+11
2032,2.9854E+11
2033,3.03919E+11
2034,3.09426E+11
2035,3.15071E+11
2036,3.20866E+11
2037,3.26823E+11
2038,3.32951E+11
2039,3.39256E+11
2040,3.45742E+11
2041,3.52411E+11
2042,3.59267E+11
2043,3.6631E+11
2044,3.73538E+11
2045,3.80946E+11
2046,3.88528E+11
2047,3.96285E+11
2048,4.04211E+11
2049,4.12303E+11
2050,4.20553E+11
2051,4.2896E+11
2052,4.37527E+11
2053,4.46256E+11
2054,4.55149E+11
2055,4.64209E+11
2056,4.73442E+11
2057,4.8286E+11
2058,4.92477E+11
2059,5.02304E+11
2060,5.12357E+11
