,Year,deminit_trde_freight_mt_km,iso_code3,Region
0,2010,140.95462328767124,LA,louisiana
1,2011,140.95462328767124,LA,louisiana
2,2012,140.95462328767124,LA,louisiana
3,2013,140.95462328767124,LA,louisiana
4,2014,140.95462328767124,LA,louisiana
5,2015,140.95462328767124,LA,louisiana
6,2016,140.95462328767124,LA,louisiana
7,2017,140.95462328767124,LA,louisiana
8,2018,140.95462328767124,LA,louisiana
9,2019,141.02311643835617,LA,louisiana
10,2020,130.23544520547946,LA,louisiana
11,2021,130.96318493150687,LA,louisiana
12,2022,141.8633806262231,LA,louisiana
