,Year,iso_code3,Region,deminit_trde_regional_per_capita_passenger_km
0,2018,LA,louisiana,2853215.1186432512
1,2019,LA,louisiana,2853215.1186432512
2,2020,LA,louisiana,2853215.1186432512
3,2021,LA,louisiana,2853215.1186432512
4,2022,LA,louisiana,2853215.1186432512
5,2023,LA,louisiana,2853215.1186432512
6,2024,LA,louisiana,2853215.1186432512
7,2025,LA,louisiana,2853215.1186432512
8,2026,LA,louisiana,2853215.1186432512
9,2027,LA,louisiana,2853215.1186432512
10,2028,LA,louisiana,2853215.1186432512
11,2029,LA,louisiana,2853215.1186432512
12,2030,LA,louisiana,2853215.1186432512
13,2031,LA,louisiana,2853215.1186432512
14,2032,LA,louisiana,2853215.1186432512
15,2033,LA,louisiana,2853215.1186432512
16,2034,LA,louisiana,2853215.1186432512
17,2035,LA,louisiana,2853215.1186432512
18,2036,LA,louisiana,2853215.1186432512
19,2037,LA,louisiana,2853215.1186432512
20,2038,LA,louisiana,2853215.1186432512
21,2039,LA,louisiana,2853215.1186432512
22,2040,LA,louisiana,2853215.1186432512
23,2041,LA,louisiana,2853215.1186432512
24,2042,LA,louisiana,2853215.1186432512
25,2043,LA,louisiana,2853215.1186432512
26,2044,LA,louisiana,2853215.1186432512
27,2045,LA,louisiana,2853215.1186432512
28,2046,LA,louisiana,2853215.1186432512
29,2047,LA,louisiana,2853215.1186432512
30,2048,LA,louisiana,2853215.1186432512
31,2049,LA,louisiana,2853215.1186432512
32,2050,LA,louisiana,2853215.1186432512
