SUBJECT,LOCATION,TIME,Value,INDICATOR,MEASURE,FREQUENCY
COAST,GEO,2019,545.61,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ABW,2019,12602.74931,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,IRQ,2018,38673.63137,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,MNE,2017,81.6,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ETH,2017,23472.87808,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ALB,2014,1063.38305,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BLZ,2016,8453.852704,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,MAR,2014,16191.94336,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ARE,2015,54092.25499,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ITA,2015,51145,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BFA,2011,8024.270587,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,HRV,2013,211,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,FIN,2021,2208,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BEL,2013,85333.45848,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,THA,2019,165631.5862,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,TCD,2020,8200.111165,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BOL,2012,8317.821409,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,LBR,2013,7871.704791,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BHR,2015,11066.25528,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CHL,2011,29728.93197,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,MLI,2017,7218.335818,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CHE,2012,10329.95112,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,TKM,2021,14191.42738,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ALB,2021,1061.167268,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,SLB,2011,8413.083708,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BRN,2011,4250.451033,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ABW,2021,9534.06314,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,NCL,2014,4174.739752,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CHL,2013,34608.19358,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,URY,2021,11824.35449,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BWA,2014,9588.935325,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,PRI,2021,20103.6566,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,HRV,2015,217,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ISR,2019,40187.56045,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,GEO,2021,606.45675,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ALB,2017,1061.195,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,GUY,2016,8502.454106,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ARG,2012,120532.0114,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,GNB,2016,8248.899207,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,TCD,2019,8235.846739,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,GEO,2015,738.825,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BOL,2014,8389.902555,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,LSO,2021,8322.086302,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,JAM,2017,8981.09998,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,COL,2021,124083.4089,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,UGA,2012,8333.307428,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BEL,2012,83327.32512,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,HTI,2012,7500.918297,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,DJI,2019,8301.933108,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,AUT,2020,14682.05375,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,HUN,2012,14057.1,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,KWT,2020,6955.842402,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,SWZ,2013,8583.524934,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,DNK,2020,11479.76711,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BGD,2019,105722.7669,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,MMR,2017,13378.52723,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,MAR,2017,19972.88232,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BTN,2021,8553.697935,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ALB,2013,1056,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ABW,2016,12602.5947,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,CMR,2019,11112.31964,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,FIN,2015,2180,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,UGA,2016,8283.80394,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,HRV,2020,213,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BRA,2015,670180.4511,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,GHA,2017,13095.99847,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,MNG,2018,8631.696907,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BGR,2011,7636.35,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ALB,2018,1060.46,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BRB,2018,8650.179643,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,FIN,2014,2010,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,PER,2020,70161.15875,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,PYF,2013,8685.873573,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,DNK,2014,6872.86901,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ALB,2016,1058.72,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BLR,2013,30021.9,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BLR,2011,30462.75,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ARM,2011,701.4,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,GBR,2012,34400,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,JOR,2021,8775.303621,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,AGO,2019,27107.15769,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BGD,2016,92573.17707,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,MUS,2015,8984.935874,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,MNG,2016,8585.801537,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,TTO,2013,12153.60613,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,DEU,2019,153669.066,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,AUS,2016,110379.91,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,SEN,2012,7702.373182,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,SDN,2013,12378.01311,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,ETH,2020,30666.45555,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BGR,2020,11343.3,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,BEN,2013,7737.657232,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,GBR,2013,28000,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,TUN,2015,17111.84775,FREIGHTTRANSP,MLN_TONNEKM,A
COAST,IND,2014,1267066.462,FREIGHTTRANSP,MLN_TONNEKM,A
