,iso_code3,Region,Year,frac_trns_pkm_dem_private_and_public_public
0,LA,louisiana,2022,0.07173270286014348
1,LA,louisiana,2023,0.07173270286014348
2,LA,louisiana,2024,0.07173270286014348
3,LA,louisiana,2025,0.07173270286014348
4,LA,louisiana,2026,0.07173270286014348
5,LA,louisiana,2027,0.07173270286014348
6,LA,louisiana,2028,0.07173270286014348
7,LA,louisiana,2029,0.07173270286014348
8,LA,louisiana,2030,0.07173270286014348
9,LA,louisiana,2031,0.07173270286014348
10,LA,louisiana,2032,0.07173270286014348
11,LA,louisiana,2033,0.07173270286014348
12,LA,louisiana,2034,0.07173270286014348
13,LA,louisiana,2035,0.07173270286014348
14,LA,louisiana,2036,0.07173270286014348
15,LA,louisiana,2037,0.07173270286014348
16,LA,louisiana,2038,0.07173270286014348
17,LA,louisiana,2039,0.07173270286014348
18,LA,louisiana,2040,0.07173270286014348
19,LA,louisiana,2041,0.07173270286014348
20,LA,louisiana,2042,0.07173270286014348
21,LA,louisiana,2043,0.07173270286014348
22,LA,louisiana,2044,0.07173270286014348
23,LA,louisiana,2045,0.07173270286014348
24,LA,louisiana,2046,0.07173270286014348
25,LA,louisiana,2047,0.07173270286014348
26,LA,louisiana,2048,0.07173270286014348
27,LA,louisiana,2049,0.07173270286014348
28,LA,louisiana,2050,0.07173270286014348
