,iso_code3,Region,Year,occrate_trns_passenger_per_vehicle_road_heavy_regional
0,LA,louisiana,2024,42.8
1,LA,louisiana,2025,42.8
2,LA,louisiana,2026,42.8
3,LA,louisiana,2027,42.8
4,LA,louisiana,2028,42.8
5,LA,louisiana,2029,42.8
6,LA,louisiana,2030,42.8
7,LA,louisiana,2031,42.8
8,LA,louisiana,2032,42.8
9,LA,louisiana,2033,42.8
10,LA,louisiana,2034,42.8
11,LA,louisiana,2035,42.8
12,LA,louisiana,2036,42.8
13,LA,louisiana,2037,42.8
14,LA,louisiana,2038,42.8
15,LA,louisiana,2039,42.8
16,LA,louisiana,2040,42.8
17,LA,louisiana,2041,42.8
18,LA,louisiana,2042,42.8
19,LA,louisiana,2043,42.8
20,LA,louisiana,2044,42.8
21,LA,louisiana,2045,42.8
22,LA,louisiana,2046,42.8
23,LA,louisiana,2047,42.8
24,LA,louisiana,2048,42.8
25,LA,louisiana,2049,42.8
26,LA,louisiana,2050,42.8
